,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Hydropower,Infrastructure,Bangladesh,A2 emissions scenario for 2050,Economic Optimization,MonetaryBenefits,Economic,Lead,%,7.5,2.5,NA,NA,NA,NA,Page 19,This is the midpoint between 5 and 10% with the standard deviation representing the range.
1,Energy,Infrastructure Development,Bangladesh,A2 emissions scenario,Economic Optimization,MonetaryBenefits [million USD / yr],Economic,Need,million USD / yr,6000,NA,NA,NA,NA,NA,Page 20 - Figure 8,Includes economic benefits from energy production with full infrastructure development under varying climate scenarios.
2,Energy,Infrastructure Development,Bangladesh,A2 emissions scenario,Economic Optimization,AdaptationCost [million USD],Economic,Need,million USD,35000,NA,NA,NA,NA,NA,Page 20,Total estimated cost for the full set of infrastructures.
3,Irrigation,Infrastructure Development,Bangladesh,A2 emissions scenario,Economic Optimization,MonetaryBenefits [million USD / yr],Economic,Need,million USD / yr,1700,NA,NA,NA,NA,NA,Page 20,Increase in irrigation benefits for full infrastructure development.
4,All,Infrastructure Development,Bangladesh,A2 emissions scenario,Economic Optimization,DiscountedSum() [million USD],Economic,Need,%,6.1,NA,NA,NA,NA,NA,Page 20,Above which the investment could generate net economic benefits under conservative estimates.
5,All,Infrastructure Development,Bangladesh,A2 emissions scenario,Economic Optimization,DiscountedSum() [million USD],Economic,Need,%,7.9,NA,NA,NA,NA,NA,Page 20,Above which the investment could generate net economic benefits under moderate productivity estimates.
6,Hydropower,Dams,Nepal,A2 2050,Economic optimization,MonetaryBenefits,Economic,Need,Mil $/yr,0,NA,NA,NA,NA,12000,"Figure 8, Top Graph",Maximum value for Hydropower Production with Full dam implementation.
7,Agriculture,Irrigation,Bangladesh,A2 2050,Economic optimization,MonetaryBenefits,Economic,Need,Mil $/yr,0,NA,NA,NA,NA,8000,"Figure 8, Middle Graph",Maximum value for Irrigation with Full dam implementation.
8,All,Low Flow Augmentation,Bangladesh,A2 2050,Economic optimization,MonetaryBenefits,Economic,Need,Mil $/yr,0,NA,NA,NA,NA,2500,"Figure 8, Bottom Graph",Maximum value for Flow to the Delta with Full dam implementation.
9,Energy,Dams,"Bangladesh, Nepal","A2, 2050, GCMs",Hydrological & Econ,MonetaryBenefits,Economic,N/A,US$ billion/yr,4,NA,NA,NA,NA,8,Page 47,Energy and dry season water supply benefits.
10,Hydropower,Dams,"Bangladesh, Nepal","A2, 2050, GCMs",Hydrological & Econ,MonetaryBenefits,Economic,N/A,US$ billion/yr,4,NA,NA,NA,NA,6,Page 47,From hydropower.
