,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Insurance Claims,Hudson Estuary,Historical,2012,Pre-Sandy,USD,4.86e+9,NA,NA,NA,NA,NA,Page 4,Reported NFIP claims due to rainfall and storm surge from Hurricane Sandy.
1,Flood Insurance Policies,Hudson Estuary,Historical,2013,Pre-Sandy,policies,182530,NA,NA,NA,NA,NA,Page 4,Maximum number of NFIP insurance policies held following Hurricane Sandy.
2,Flood Insurance Policies,Hudson Estuary,Historical,2021,Pre-Sandy,policies,144954,NA,NA,NA,NA,NA,Page 4,Number of NFIP insurance policies held.
3,Precipitation Events,Hudson Estuary,Historical,2021,Pre-1970,events / year,9,NA,NA,NA,NA,NA,Page 4,Nine precipitation events exceeding 10 cm / day.
4,Precipitation,Hudson Estuary,Historical,2021,Pre-1970,cm / day,7.4,NA,NA,NA,NA,NA,Page 4,Average annual maximum daily precipitation.
5,Storm Surge,Hudson Estuary,Historical,2021,Pre-1970,m MSL,1.57,NA,NA,NA,NA,NA,Page 4,Average annual maximum storm surge.
6,NFIP Claims,Hudson Estuary,Historical,2021,Pre-1979,claims / year,3476,NA,NA,NA,NA,NA,Page 4,Average annual number of flood insurance claims submitted through NFIP.
7,NFIP Claims,Hudson Estuary,Historical,2021,Pre-1979,USD / year,1.12e+8,NA,NA,NA,NA,NA,Page 4,Average annual NFIP claim total.
8,Housing Price,Hudson Estuary,Historical,2000,Pre-2000,USD,274500,NA,NA,NA,NA,NA,Page 4,Median Housing Price.
9,Housing Price,Hudson Estuary,Historical,2010,2000,USD,504100,NA,NA,NA,NA,NA,Page 4,Median Housing Price.
10,Housing Price,Hudson Estuary,Historical,2020,2000,USD,581700,NA,NA,NA,NA,NA,Page 4,Median Housing Price.
11,Housing Price,NY/CT/NJ Coast,Historical,2021,No CC,percent decline,-6,NA,NA,NA,NA,NA,7,"Estimate of uncorrected housing prices in 6%–13% range, inferring at least 6% decline due to memory of Sandy fading."
12,Housing Price,NY/CT/NJ Coast,Historical,2021,No CC,percent decline,-13,NA,NA,NA,NA,NA,7,"Estimate of uncorrected housing prices in 6%–13% range, inferring at most 13% decline due to memory of Sandy fading."
