,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Obese Adults,Worldwide,Intermediate,2016,No CC,millions / degree C,79.7,NA,NA,NA,NA,NA,1,Refers to increase in obese adults if annual mean temperature increased by 1 degree C. Equivalent to 12.3% increase.
1,Obesity Rates,Temperate Zones,Yearly Temp,2016,1975,%,0,NA,NA,NA,NA,NA,1,Global warming significantly increased obesity rates in temperate zones.
2,Obesity Rates,Tropical Countries,Yearly Temp,2016,1975,%,0,NA,NA,NA,NA,NA,1,Only caused a reduction in a small number of tropical countries.
3,Obesity Rate,Temperate Zones,NA,2050,No CC,%,0,NA,NA,NA,NA,NA,3,"Global warming-related increase in obesity rates projected.  Value is set to 0 due to lack of specific percentage information.  Increase is expected, but not quantified."
4,Obesity Rate,Tropical Countries,NA,2050,No CC,%,0,NA,NA,NA,NA,NA,3,"Global warming-related reduction in obesity rates projected in some tropical countries. Value is set to 0 due to lack of specific percentage information. Reduction is expected, but not quantified."
5,Obesity Rate,152 countries,NA,2016,No CC,% / degree C,1.06,NA,NA,NA,NA,NA,3,Population-weighted average marginal effect of a 1 degree C increase in temperature.
6,Number of Obese Adults,Worldwide,Intermediate Emissions,2050,2016,millions,89.9,NA,NA,NA,NA,NA,3,Projected increase in the number of obese adults due to global warming.
7,Economic Loss,Worldwide,Intermediate Emissions,2050,2016,US$ billions,276.6,NA,NA,NA,NA,NA,3,Attributed to increased obesity due to global warming.
8,Obesity,21 tropical countries,Historical,2016,No CC,pct pt / deg C,-0.001,NA,NA,NA,NA,NA,Page 11,The effect of warming on obesity is negative in tropical countries with a mean temperature above 27 °C. This value is a placeholder to indicate a negative effect.
9,obesity,Global,Not specified,2016,No CC,percentage points,1.13,NA,NA,NA,NA,NA,Page 15,This is the marginal effect mentioned in Column 1 without the interaction term. Data from 1975-2016.
10,obesity,Global,Not specified,2016,No CC,percentage points,0.202,NA,NA,NA,NA,NA,Page 15,1-unit increase in log GDP per capita reduces the effect of warming on obesity. Data from 1975-2016.
11,obesity,Poorest countries,Not specified,2016,No CC,percentage points,1.62,NA,NA,NA,NA,NA,Page 15,Higher impact in poorest versus richest countries. Data from 1975-2016.
12,obesity,Countries w/oldest,Not specified,2016,No CC,percentage points,0.85,NA,NA,NA,NA,NA,Page 15,Effect is higher for countries with oldest population compared to countries with youngest. Data from 1975-2016.
13,obesity,Global,Not specified,2016,No CC,percentage points,0.026,NA,NA,NA,NA,NA,Page 15,1-year increase in adult average age increases the impact on obesity. Data from 1975-2016.
14,obesity,Global,Not specified,2016,No CC,percentage points,0.019,NA,NA,NA,NA,NA,Page 15,1-year increase in average schooling of adults increases the impact on obesity. Data from 1975-2016.
15,Obesity Rate,Global,Intermediate emissions,2016,No CC,percentage points / degree C,1.28,NA,NA,NA,NA,NA,Page 16,"Specifically, the estimates indicate that a 1 ◦ C increase in the annual mean temperature would increase the male obesity rate by 1.28 percentage points. The analysis uses data from 1975 to 2016."
16,Female Obesity Rate,Global,Intermediate,2016,N/A,percentage points,0.81,NA,NA,NA,NA,NA,17,Impact of global warming increases the female obesity rate by 0.81 percentage points; males are more exposed to the impact of global warming; result observed in data ending 2016
17,Obesity,"Country i, Year t",Intermediate,2016,12-15 °C bin,NA,0,NA,NA,NA,NA,NA,Page 18,More days with temperatures under 9 °C would reduce obesity compared to the 12-15 °C bin. More days with temperatures above 15 °C would increase obesity.
18,Obesity,"Country i, Year t",Intermediate,2016,Low-temp seasons,NA,0,NA,NA,NA,NA,NA,Page 18,"The warming of high-temperature seasons (3 and 4) significantly increases obesity, while the warming of low-temperature seasons (1 and 2) has a negligible effect on obesity. Season definitions are based on temperature rankings across months within each country."
19,Obesity,"Country i, Year t",Separate Regressions,2016,NA,NA,-0.19,NA,NA,NA,NA,NA,Page 18,Coefficient for Season 1
