,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Dry Departure %,Mediterranean,SSP5–8.5,2100,PiControl,%,100,NA,NA,NA,NA,NA,Page 5,The percentage of models with a dry departure in the Mediterranean approaches 100% under SSP5–8.5.,"In Fig. 3, it can be observed that, when going from SSP1–2.6 to SSP5–8.5, the deviation of the total soil moisture content from the baseline increases in most regions... The Mediterranean (MED) has the highest percentage of models with a dry departure in SSP1–2.6 (approximately 70%), and the percentage of models continues to increase to almost 100% as it approaches SSP5–8.5... The largest change occurs in the northern South America (NSA) region with a decrease in total soil moisture... NEAF is expected to have the strongest signal for permanent wet departure, with a median expected time of emergence ranging from 2039 (SSP5–8.5) to 2095 (SSP1–2.6)."
1,Dry Departure %,Mediterranean,SSP1–2.6,2100,PiControl,%,70,NA,NA,NA,NA,NA,Page 5,The percentage of models with a dry departure in the Mediterranean is approximately 70% under SSP1–2.6.,"In Fig. 3, it can be observed that, when going from SSP1–2.6 to SSP5–8.5, the deviation of the total soil moisture content from the baseline increases in most regions... The Mediterranean (MED) has the highest percentage of models with a dry departure in SSP1–2.6 (approximately 70%), and the percentage of models continues to increase to almost 100% as it approaches SSP5–8.5... The largest change occurs in the northern South America (NSA) region with a decrease in total soil moisture... NEAF is expected to have the strongest signal for permanent wet departure, with a median expected time of emergence ranging from 2039 (SSP5–8.5) to 2095 (SSP1–2.6)."
2,Moisture Change,Northern South America,SSP5–8.5,2100,PiControl,Unitless,-1,NA,NA,NA,NA,NA,Page 5,Largest decrease in total soil moisture observed in Northern South America under warmer scenarios.,"In Fig. 3, it can be observed that, when going from SSP1–2.6 to SSP5–8.5, the deviation of the total soil moisture content from the baseline increases in most regions... The Mediterranean (MED) has the highest percentage of models with a dry departure in SSP1–2.6 (approximately 70%), and the percentage of models continues to increase to almost 100% as it approaches SSP5–8.5... The largest change occurs in the northern South America (NSA) region with a decrease in total soil moisture... NEAF is expected to have the strongest signal for permanent wet departure, with a median expected time of emergence ranging from 2039 (SSP5–8.5) to 2095 (SSP1–2.6)."
3,"Emergence Year, Wet",N-E Africa,SSP1–2.6,2095,PiControl,Year,2095,NA,NA,NA,NA,NA,Page 5,Median expected time of emergence for a permanent wet departure is 2095 in North-Eastern Africa under SSP1–2.6.,"In Fig. 3, it can be observed that, when going from SSP1–2.6 to SSP5–8.5, the deviation of the total soil moisture content from the baseline increases in most regions... The Mediterranean (MED) has the highest percentage of models with a dry departure in SSP1–2.6 (approximately 70%), and the percentage of models continues to increase to almost 100% as it approaches SSP5–8.5... The largest change occurs in the northern South America (NSA) region with a decrease in total soil moisture... NEAF is expected to have the strongest signal for permanent wet departure, with a median expected time of emergence ranging from 2039 (SSP5–8.5) to 2095 (SSP1–2.6)."
4,"Emergence Year, Wet",N-E Africa,SSP5–8.5,2039,PiControl,Year,2039,NA,NA,NA,NA,NA,Page 5,Median expected time of emergence for a permanent wet departure is 2039 in North-Eastern Africa under SSP5–8.5.,"In Fig. 3, it can be observed that, when going from SSP1–2.6 to SSP5–8.5, the deviation of the total soil moisture content from the baseline increases in most regions... The Mediterranean (MED) has the highest percentage of models with a dry departure in SSP1–2.6 (approximately 70%), and the percentage of models continues to increase to almost 100% as it approaches SSP5–8.5... The largest change occurs in the northern South America (NSA) region with a decrease in total soil moisture... NEAF is expected to have the strongest signal for permanent wet departure, with a median expected time of emergence ranging from 2039 (SSP5–8.5) to 2095 (SSP1–2.6)."
5,Wet regions,Global,SSP1-2.6,2085,PiControl,regions,27,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
6,Dry regions,Global,SSP1-2.6,2085,PiControl,regions,16,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
7,Wet regions,Global,SSP2-4.5,2085,PiControl,regions,23,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
8,Dry regions,Global,SSP2-4.5,2085,PiControl,regions,20,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
9,Wet regions,Global,SSP3-7.0,2085,PiControl,regions,22,NA,NA,NA,NA,NA,"Page 7, Figure 4",Mean between 2071 and 2100.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Wet regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""27"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP1-2.6"",""2085"",""PiControl"",""regions"",""16"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP2-4.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP3-7.0"",""2085"",""PiControl"",""regions"",""22"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Wet regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Dry regions"",""Global"",""SSP5-8.5"",""2085"",""PiControl"",""regions"",""20"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7, Figure 4"",""Mean between 2071 and 2100.""
""Land Area"",""Global"",""SSP (Unspecified)"",""2021"",""Pre-industrial"",""percent"",""5"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 7"",""*Expected* percentage before climate change.""
"
