,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agriculture,Irrigation,The Netherlands,Any,Consumer/Producer Surplus,MonetaryBenefits,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,2.2.2,"Calculates change in consumer/producer surplus due to crop yield reduction and higher irrigation costs. Value not explicitly mentioned, assuming a neutral impact initially."
1,Shipping,Water Level Management,The Netherlands,Any,Transport Costs,AvoidedImpact,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,2.2.5,"Calculates reduced load of vessels, more trips, increased travel times due to detours and increased waiting time at sluices, which all results in higher transport costs. Value not explicitly mentioned, assuming a neutral impact initially."
2,Drinking Water,Buffer Capacity,The Netherlands,Future,Costs of drought adaptation,AdaptationCost,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,2.2.6,"Costs of drought adaptation to maintain the supply reliability represents the economic impact of (future) droughts on drinking water supply. Value not explicitly mentioned, assuming a neutral impact initially."
3,Industry,Water Quality Improvement,The Netherlands,Future,Costs of drought adaptation,AdaptationCost,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,2.2.6,"Droughts may affect industrial use by deteriorating water quality. Costs of drought adaptation to maintain the supply reliability represents the economic impact of (future) droughts on industrial use. Value not explicitly mentioned, assuming a neutral impact initially."
4,All,Shadow Pricing,The Netherlands,Any,Monetized Impacts,MonetaryBenefits,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,2.2.3,"Soil subsidence, instability of peat embankments, water quality, and biodiversity loss were monetized with a shadow price. Value not explicitly mentioned, assuming a neutral impact initially."
5,All,Any,The Netherlands,Any,Equal annual annuity (EAA),AdaptationCost,Economic,Need,Euros per year,0,NA,NA,NA,NA,NA,p.1768,"EAA used to compare measures with different lifespans, investments, and annual operational and maintenance costs. No specific numeric values provided on this page, representing a null value."
6,All,Any,The Netherlands,Any,Monetized effects,MonetaryBenefits,Economic,Need,Euros,0,NA,NA,NA,NA,NA,p.1768,"Monetized effects based on calculated change in drought risk were included in evaluating policy actions. No specific numeric values provided on this page, representing a null value."
7,All,Any,The Netherlands,Any,Non-monetized effects,NonMonetaryBenefits,Economic,Need,NA,0,NA,NA,NA,NA,NA,p.1768,"Non-monetized effects provided by the stakeholders were included in evaluating policy actions. No specific numeric values provided on this page, representing a null value."
8,NA,Adaptive Strategy,The Netherlands,Stoom,Risk Analysis,AvoidedImpact,Economic,Need,EUR millions/year,239,NA,NA,NA,NA,NA,Text of page 7,"Based on the current drought risk estimated at EUR 372 million per year and the potential increase to EUR 611 million by 2050 under the Stoom scenario, the avoided impact is calculated by subtracting the current impact from the future impact under worst-case."
9,Agriculture,Water Supply,Netherlands,Stoom,Cost-Benefit Ratio,AdaptationCost,Economic,Need,EUR million per year,2.16,NA,NA,NA,NA,NA,Page 8,Policy action N-3 becomes cost-effective under the Stoom scenario mainly benefiting agriculture.
10,Shipping,Water Supply,Netherlands,Stoom,Monetary Impact,BaselineImpact,Economic,Need,EUR million per year,-0.02,NA,NA,NA,NA,NA,Page 8,Negative impact on shipping from policy action N-3 under the Stoom scenario.
11,Drinking Water,River Distribution,Netherlands,Stoom,Monetary Impact,AvoidedImpact,Economic,Need,EUR million per year,0.00,NA,NA,NA,NA,NA,Page 8,"The value is not explicitly specified for drinking water, but it reduces the risk for drinking water. Setting to zero for completeness, but this should be improved with more information."
12,Agriculture,Any,Netherlands,Reference,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,305,NA,NA,NA,NA,NA,Table 3,Current drought risk
13,Shipping,Any,Netherlands,Reference,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,66,NA,NA,NA,NA,NA,Table 3,Current drought risk
14,Drinking water,Any,Netherlands,Reference,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,0,NA,NA,NA,NA,NA,Table 3,Current drought risk is approximately zero
15,Industry,Any,Netherlands,Reference,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,1,NA,NA,NA,NA,NA,Table 3,Current drought risk
16,All,Any,Netherlands,Reference,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,372,NA,NA,NA,NA,NA,Table 3,Total current drought risk
17,Agriculture,Any,Netherlands,Stoom2050,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,460,NA,NA,NA,NA,NA,Table 3,Future drought risk under Stoom2050 scenario
18,Shipping,Any,Netherlands,Stoom2050,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,138,NA,NA,NA,NA,NA,Table 3,Future drought risk under Stoom2050 scenario
19,Drinking water,Any,Netherlands,Stoom2050,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,9,NA,NA,NA,NA,NA,Table 3,Future drought risk under Stoom2050 scenario
20,Industry,Any,Netherlands,Stoom2050,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,4,NA,NA,NA,NA,NA,Table 3,Future drought risk under Stoom2050 scenario
21,All,Any,Netherlands,Stoom2050,Drought Risk,BaselineImpact,Economic,Need,EUR millions/year,611,NA,NA,NA,NA,NA,Table 3,Total future drought risk under Stoom2050 scenario
