,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,2900,NA,5%,510,95%,12000,Table 1,Total in FrEDI
1,Health,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,2600,NA,5%,350,95%,11000,Table 1,
2,Infrastructure,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,220,NA,5%,140,95%,360,Table 1,
3,Labor,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,51,NA,5%,6.7,95%,220,Table 1,
4,Electricity,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,22,NA,5%,9.3,95%,35,Table 1,
5,Agriculture,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,6.1,NA,5%,0.42,95%,19,Table 1,
6,Ecosystems+recreation,Any,US,RFF-SPs,Annual damages,AvoidedImpact,Economic,Need,USD billions,4.0,NA,5%,1.6,95%,7.5,Table 1,
7,Coastal Property,Reactive Adaptation,US,RFF-SPs,Damages,AvoidedImpact,Economic,Need,USD Billion,7.6,NA,NA,NA,NA,NA,Page 8,Damages under reactive adaptation (reasonably anticipated response) is USD9.4 Billion. Damages range from USD17 Billion under no adaptation.
8,Coastal Property,Proactive Adaptation,US,RFF-SPs,Damages,AvoidedImpact,Economic,Need,USD Billion,9.5,NA,NA,NA,NA,NA,Page 8,Damages under proactive adaptation (optimal response) is USD7.5 Billion. Damages range from USD17 Billion under no adaptation.
9,All,Any,US,RFF-SPs,Avoided Damages,AvoidedImpact,Economic,Need,USD billions per year,0,NA,2.5%,0,97.5%,0,Page 9 Figure 4,"While the chart depicts damages, avoided damages from adaptation would be represented by a reduction in these values. The figure does not specifically quantify adaptation benefits, thus 0 value for all numeric fields."
10,All,Any,US,RFF-SPs,Annual damages,BaselineImpact,Economic,Need,USD,2900000000000,NA,NA,NA,NA,NA,Highlights,Value projected to 2090 (approximately 3% of US GDP); range from $700 billion to $7 trillion depending on emissions scenarios.
