,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Uninsured Losses as % of GDP,Advanced Economies,Weather related,2005,1990,%,0.03,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.1% in 1990 and ~0.13% in 2005
1,Uninsured Losses as % of GDP,Advanced Economies,Weather related,2015,1990,%,0.02,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.1% in 1990 and ~0.12% in 2015
2,Uninsured Losses as % of GDP,Emerging Economies,Weather related,2005,1990,%,0.2,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.18% in 1990 and ~0.38% in 2005
3,Uninsured Losses as % of GDP,Emerging Economies,Weather related,2015,1990,%,0.07,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.18% in 1990 and ~0.25% in 2015
4,Uninsured Losses as % of GDP,Global,Weather related,2005,1990,%,0.06,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.13% in 1990 and ~0.19% in 2005
5,Uninsured Losses as % of GDP,Global,Weather related,2015,1990,%,0.04,NA,NA,NA,NA,NA,"Page 7, Weather related graph",Difference between ~0.13% in 1990 and ~0.17% in 2015
6,Uninsured Losses as % of GDP,Advanced Economies,Natural Catastrophes,2015,1990,%,0.01,NA,NA,NA,NA,NA,"Page 7, Nat cat graph",Approximate increase from 1990 level
7,Uninsured Losses as % of GDP,Emerging Economies,Natural Catastrophes,2010,1990,%,0.05,NA,NA,NA,NA,NA,"Page 7, Nat cat graph",Approximate increase from 1990 level
8,Uninsured Losses as % of GDP,Global,Natural Catastrophes,2015,2000,%,-0.03,NA,NA,NA,NA,NA,"Page 7, Nat cat graph",Approximate decrease from early 2000s level
9,GDP,"Taiwan, Turkey, Chile",Climate change scenarios,2015,No CC,%,-0.38,NA,NA,NA,NA,NA,10,From earthquake risk
10,GDP,"Taiwan, Phil, HK, Mexico",Climate change scenarios,2015,No CC,%,-0.38,NA,NA,NA,NA,NA,10,From windstorm risk
11,Uninsured Losses as % of GDP,Advanced economies,Climate change scenarios,2005,1990,%,0.03,NA,NA,NA,NA,NA,Line graph,weather related events
12,Uninsured Losses as % of GDP,Emerging economies,Climate change scenarios,2005,1990,%,0.2,NA,NA,NA,NA,NA,Line graph,weather related events
13,Uninsured Losses as % of GDP,Global,Climate change scenarios,2005,1990,%,0.06,NA,NA,NA,NA,NA,Line graph,weather related events
