,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Storm Surge Damages,US,Business-as-usual,2050,No CC,billion USD/year,42,NA,NA,NA,NA,108,11,Based on CIRA estimates
1,Crop Yields,US,Business-as-usual,2020,No CC,billion USD/year,-2.5,NA,NA,-3.5,NA,3.5,11,Based on Risky Business Project estimates; Values are negative because the estimates indicate impacts
2,Crop Yields,US,Business-as-usual,2040,No CC,billion USD/year,-3.6,NA,NA,-7.8,NA,7.8,11,Based on Risky Business Project estimates; Values are negative because the estimates indicate impacts
3,Crop Yields,US,Business-as-usual,2050,No CC,billion USD/year,66,NA,NA,NA,NA,NA,11,Based on Risky Business Project estimates
4,Crop Yields,US,Business-as-usual,2080,No CC,billion USD/year,-3.9,NA,NA,NA,NA,24,11,Based on Risky Business Project estimates; Values are negative because the estimates indicate impacts
5,Economic Impacts,US,Business-as-usual,2050,No CC,billion USD/year,-0.5,NA,NA,NA,NA,2.5,11,CIRA estimates; Values are negative because the estimates indicate impacts
6,Economic Impacts,US,Business-as-usual,2100,No CC,billion USD/year,6.5,NA,NA,NA,NA,100,11,CIRA estimates; Upper end reads 'over $100 billion'
7,Economic Impacts,US,Mitigation,2100,Business-as-usual,billion USD/year,-3.8,NA,NA,NA,NA,16,11,CIRA estimates; Values are negative because the estimates indicate impacts
8,Adaptation Benefits,US,Business-as-usual,2100,No CC,billion USD,990,NA,NA,NA,NA,NA,11,CIRA Estimates
9,Costs of Inaction,US,Business-as-usual,2100,Adaptation,billion USD,4000,NA,NA,NA,NA,NA,11,CIRA Estimates; Reads 'over $4 trillion'
10,Energy expenditure,US,RCP 8.5,2020,Business as usual,billion,90,NA,NA,0.5,NA,22,12,2020 to 2039
11,Energy expenditure,US,RCP 8.5,2040,Business as usual,billion,1.7,NA,NA,11,NA,53,12,2040 to 2059
12,Energy expenditure,US,RCP 8.5,2040,Business as usual,billion,5.2,NA,NA,NA,NA,NA,12,2040 to 2059
13,Energy expenditure,US,RCP 8.5,2080,Business as usual,billion,5.3,NA,NA,45,NA,156,12,2080 to 2099
