,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Global,High-damage calibration,2100,No CC,%,-9,NA,NA,NA,NA,NA,Page 2,Global GDP reduction by 9% is under a high-damage scenario with UWI carbon tax policy.
1,GDP,India,High-damage calibration,2100,No CC,%,-26.2,NA,NA,NA,NA,NA,Page 2,GDP reduction in India by 26.2% with UWI carbon tax policy.
2,GDP,U.S.,High-damage calibration,2100,No CC,%,-8.0,NA,NA,NA,NA,NA,Page 2,GDP reduction in the U.S. by 8.0% with UWI carbon tax policy.
3,GDP,China,High-damage calibration,2100,No CC,%,-7.8,NA,NA,NA,NA,NA,Page 2,GDP reduction in China by 7.8% with UWI carbon tax policy.
4,GDP,Canada,High-damage calibration,2100,No CC,%,0.6,NA,NA,NA,NA,NA,Page 2,"Canada's GDP increases by 2.5% without policy, reduced by 0.6% with UWI carbon tax."
5,GDP,Canada,BAU,2100,No CC,%,2.5,NA,NA,NA,NA,NA,3,GDP level is higher compared to no climate change.
6,GDP,Russia,BAU,2100,No CC,%,3.6,NA,NA,NA,NA,NA,3,GDP level is higher compared to no climate change.
7,GDP,India,BAU,2100,No CC,%,-38.6,NA,NA,NA,NA,NA,3,GDP level is lowered compared to no carbon-based damage.
8,GDP,South Asian Pacific,BAU,2100,No CC,%,-33.4,NA,NA,NA,NA,NA,3,GDP level is lowered compared to no carbon-based damage.
9,GDP,Sub-Saharan Africa,BAU,2100,No CC,%,-33.0,NA,NA,NA,NA,NA,3,GDP level is lowered compared to no carbon-based damage.
10,GDP,Middle East and North Africa,BAU,2100,No CC,%,-30.9,NA,NA,NA,NA,NA,3,GDP level is lowered compared to no carbon-based damage.
11,GDP,Global,BAU,2100,No CC,%,-14.7,NA,NA,NA,NA,NA,3,GDP level is reduced compared to a world with no carbon-based damage.
