,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,GHG emissions,Global,STEPS,2030,No CC,million tonnes CO2-equivalent,-700,NA,NA,NA,NA,NA,Page 2,Net GHG emissions avoided due to EV deployment are projected to reach nearly 700 million tonnes of CO2-equivalent by 2030 in the STEPS scenario.,"The IEA reports that net avoided well-to-wheel (WTW) GHG emissions from EV deployment are substantial, with significant reductions projected from 2023 to 2035 across various scenarios [1]. Figure 2 illustrates that under the Stated Policies Scenario (STEPS), the net GHG emissions avoided will reach nearly 700 million tonnes of CO2-equivalent by 2030."
1,GHG emissions,Unspecified,STEPS,2035,Unspecified,Units unclear,0,NA,NA,NA,NA,NA,3,"Net GHG emissions avoided by 2035 are significant, underscoring the effectiveness of current policies. Outcome is qualitatively significant, but no value specified.","Scenario (NZE), even greater reductions are projected, showcasing the potential for EVs to drive substantial emissions savings as electricity grids continue to decarbonize. 

Moreover, as highlighted by Sergey Paltsev, Deputy Director of the MIT Joint Program on the Science and Policy of Global Change, while EVs are more carbon-intensive to manufacture due to their large lithium-ion batteries, they compensate by operating much more cleanly under nearly any condition. For instance, a study from MIT showed that gasoline cars emit more than 350 grams of CO2 per mile driven over their lifetimes, while fully battery-electric vehicles create just 200g. Even in regions heavily reliant on coal for electricity, EVs tend to emit less carbon than gasoline cars over their lifetime [10]. These findings reinforce the significant long-term climate benefits of EVs.

In the STEPS scenario, for example, net GHG emissions avoided by 2035 are significant, underscoring the effectiveness of current policies. The APS scenario, which includes announced pledges, shows further reductions, and the NZE scenario highlights the impact of achieving net-zero emissions by 2050. These scenarios collectively demonstrate that EV adoption, coupled with grid decarbonization, can result in substantial GHG emissions savings. These benefits underscore the necessity of adopting EVs in urban planning and policy-making to foster a sustainable transport model that aligns with climate targets [1]."
2,GHG emissions,Unspecified,APS,2035,Unspecified,Units unclear,0,NA,NA,NA,NA,NA,3,"The APS scenario, which includes announced pledges, shows further reductions, and the NZE scenario highlights the impact of achieving net-zero emissions by 2050. Outcome qualitatively indicates more reduction than STEPS, but no value is specified.","Scenario (NZE), even greater reductions are projected, showcasing the potential for EVs to drive substantial emissions savings as electricity grids continue to decarbonize. 

Moreover, as highlighted by Sergey Paltsev, Deputy Director of the MIT Joint Program on the Science and Policy of Global Change, while EVs are more carbon-intensive to manufacture due to their large lithium-ion batteries, they compensate by operating much more cleanly under nearly any condition. For instance, a study from MIT showed that gasoline cars emit more than 350 grams of CO2 per mile driven over their lifetimes, while fully battery-electric vehicles create just 200g. Even in regions heavily reliant on coal for electricity, EVs tend to emit less carbon than gasoline cars over their lifetime [10]. These findings reinforce the significant long-term climate benefits of EVs.

In the STEPS scenario, for example, net GHG emissions avoided by 2035 are significant, underscoring the effectiveness of current policies. The APS scenario, which includes announced pledges, shows further reductions, and the NZE scenario highlights the impact of achieving net-zero emissions by 2050. These scenarios collectively demonstrate that EV adoption, coupled with grid decarbonization, can result in substantial GHG emissions savings. These benefits underscore the necessity of adopting EVs in urban planning and policy-making to foster a sustainable transport model that aligns with climate targets [1]."
3,CO2 emissions,Unspecified,Lifetime,2024,Gasoline cars,grams/mile,-150,NA,NA,NA,NA,NA,3,"Gasoline cars emit more than 350 grams of CO2 per mile driven over their lifetimes, while fully battery-electric vehicles create just 200g. Assigning year of publication as a proxy.","Scenario (NZE), even greater reductions are projected, showcasing the potential for EVs to drive substantial emissions savings as electricity grids continue to decarbonize. 

Moreover, as highlighted by Sergey Paltsev, Deputy Director of the MIT Joint Program on the Science and Policy of Global Change, while EVs are more carbon-intensive to manufacture due to their large lithium-ion batteries, they compensate by operating much more cleanly under nearly any condition. For instance, a study from MIT showed that gasoline cars emit more than 350 grams of CO2 per mile driven over their lifetimes, while fully battery-electric vehicles create just 200g. Even in regions heavily reliant on coal for electricity, EVs tend to emit less carbon than gasoline cars over their lifetime [10]. These findings reinforce the significant long-term climate benefits of EVs.

In the STEPS scenario, for example, net GHG emissions avoided by 2035 are significant, underscoring the effectiveness of current policies. The APS scenario, which includes announced pledges, shows further reductions, and the NZE scenario highlights the impact of achieving net-zero emissions by 2050. These scenarios collectively demonstrate that EV adoption, coupled with grid decarbonization, can result in substantial GHG emissions savings. These benefits underscore the necessity of adopting EVs in urban planning and policy-making to foster a sustainable transport model that aligns with climate targets [1]."
4,CO2 emissions,Unspecified,Coal Regions,2024,Gasoline cars,Units unclear,0,NA,NA,NA,NA,NA,3,"Even in regions heavily reliant on coal for electricity, EVs tend to emit less carbon than gasoline cars over their lifetime.  Direction of change is clear, but not quantified. Assigning year of publication as a proxy.","Scenario (NZE), even greater reductions are projected, showcasing the potential for EVs to drive substantial emissions savings as electricity grids continue to decarbonize. 

Moreover, as highlighted by Sergey Paltsev, Deputy Director of the MIT Joint Program on the Science and Policy of Global Change, while EVs are more carbon-intensive to manufacture due to their large lithium-ion batteries, they compensate by operating much more cleanly under nearly any condition. For instance, a study from MIT showed that gasoline cars emit more than 350 grams of CO2 per mile driven over their lifetimes, while fully battery-electric vehicles create just 200g. Even in regions heavily reliant on coal for electricity, EVs tend to emit less carbon than gasoline cars over their lifetime [10]. These findings reinforce the significant long-term climate benefits of EVs.

In the STEPS scenario, for example, net GHG emissions avoided by 2035 are significant, underscoring the effectiveness of current policies. The APS scenario, which includes announced pledges, shows further reductions, and the NZE scenario highlights the impact of achieving net-zero emissions by 2050. These scenarios collectively demonstrate that EV adoption, coupled with grid decarbonization, can result in substantial GHG emissions savings. These benefits underscore the necessity of adopting EVs in urban planning and policy-making to foster a sustainable transport model that aligns with climate targets [1]."
5,Emissions,Beijing,NA,2024,ICEV,Tons,3.477,NA,NA,NA,NA,NA,Page 18,BEV emissions are higher than ICEV emissions,"World Electr. Veh. J.2024,15, 375 18 of 47 Table 7. LCCO2 emissions by region and vehicle type: an illustrative example—adapted from [36]. Region ICEV Emissions (Tons) BEV Emissions (Tons) Comparison Beijing 42.237 45.714 Emissions in BEV is Higher than ICEV Yunnan 30.280 11.962 Emissions in BEV is Lower than ICEV.
""Analysis of Energy Savings and CO2 Reduction: BEVs with an energy consumption rate (ECR) of 10kWh/100 km can meet EU2020 CO2 regulations if the power generation mix LCCO2 is around 900 g/kWh. For BEVs with an ECR of 20 kWh/100km, the power generation mix must have LCCO2 below 460 g/kWh to meet the same regulations[37]. Moreover, BEVs in high-mileage applications, such as ride-hailing fleets, could require 1–1.5 battery replacements over a 12-year vehicle life, impacting their overall environmental performance [38].""
""Overall, EVs across different segments exhibit substantial energy savings over their internal combustion engine counterparts, as shown in Table 6. These savings are most pronounced in smaller vehicle segments such as two-wheelers and three-wheelers, where the percentage savings can exceed 80%. For larger vehicles such as light and heavy commercial vehicles, the savings are still significant, reflecting the inherent efficiency advantages of electric powertrains. These findings underscore the potential for widespread energy savings through the adoption of EVs, particularly as the technology continues to improve and electricity generation becomes cleaner.""
"
6,Emissions,Yunnan,NA,2024,ICEV,Tons,-18.318,NA,NA,NA,NA,NA,Page 18,BEV emissions are lower than ICEV emissions,"World Electr. Veh. J.2024,15, 375 18 of 47 Table 7. LCCO2 emissions by region and vehicle type: an illustrative example—adapted from [36]. Region ICEV Emissions (Tons) BEV Emissions (Tons) Comparison Beijing 42.237 45.714 Emissions in BEV is Higher than ICEV Yunnan 30.280 11.962 Emissions in BEV is Lower than ICEV.
""Analysis of Energy Savings and CO2 Reduction: BEVs with an energy consumption rate (ECR) of 10kWh/100 km can meet EU2020 CO2 regulations if the power generation mix LCCO2 is around 900 g/kWh. For BEVs with an ECR of 20 kWh/100km, the power generation mix must have LCCO2 below 460 g/kWh to meet the same regulations[37]. Moreover, BEVs in high-mileage applications, such as ride-hailing fleets, could require 1–1.5 battery replacements over a 12-year vehicle life, impacting their overall environmental performance [38].""
""Overall, EVs across different segments exhibit substantial energy savings over their internal combustion engine counterparts, as shown in Table 6. These savings are most pronounced in smaller vehicle segments such as two-wheelers and three-wheelers, where the percentage savings can exceed 80%. For larger vehicles such as light and heavy commercial vehicles, the savings are still significant, reflecting the inherent efficiency advantages of electric powertrains. These findings underscore the potential for widespread energy savings through the adoption of EVs, particularly as the technology continues to improve and electricity generation becomes cleaner.""
"
7,Petroleum demand,Global,IEA projection,2030,Pre-EV adoption levels,barrels of oil per day,-6000000,NA,NA,NA,NA,NA,21,Projected displacement of petroleum due to EV adoption.,"Collectively,thesestudiesprovideacomprehensiveviewofthefactorsinfluencingEV adoption,includingconsumerbehavior,policyimpacts,technologicalinnovations,andmarketstrategies. Theyunderscorethenecessityofintegratingconsumerinsights,technological readiness, and strategic policy frameworks to facilitate a sustainable transition to electric mobility. Futureresearchshouldcontinuetoaddresstheseinterconnectedelements,focusing onovercomingbarrierstoadoptionandenhancingtheappealofEVstoabroaderaudience. Impact of Electric Transportation on the Energy Sector: Focus on the Petroleum Industry The rise of electric transportation is transforming the energy sector, bringing significant implications for the petroleum industry. The increasing adoption of EVs directly reduces the demand for petroleum products. According to the IEA, the global EV fleet is projected to displace approximately six million barrels of oil per day by 2030. This substantial reduction in petroleum demand presents a significant challenge for the oil industry, traditionally reliant on transportation fuels as a major revenue source. The decline in petroleum demand driven by EV growth is prompting major oil companies to reassess their business models. Companies like BP and Shell are increasingly investing in renewable energy sources and EV charging infrastructure. For instance, Shell aims to operate over 500,000 EV charge points globally by 2025. These strategic shifts are designed to diversify revenue streams and mitigate the financial impact of reduced oil consumption. Furthermore, the environmental benefits of reduced petroleum consumption are substantial. The shift from internal combustion engine vehicles to EVs results in lower greenhouse gas emissions and decreased air pollution. According to the IEA, by 2035, the widespread adoption of EVs could reduce CO2 emissions by 1.8 gigatonnes, with further reductions expected through 2040. This transition supports global efforts to combat climate change and promotes cleaner air in urban areas. Government policies also play a crucial role in accelerating EV adoption and subsequently impacting the petroleum sector. Policies such as subsidies for EV purchases, stringent emission regulations, and investments in charging infrastructure are driving the shift toward electric mobility. For example, the European Union’s Green Deal aims to reduce net greenhouse gas emissions by at least 55% by 2030, significantly impacting oil demand in the region. Additionally, market dynamics are evolving, with oil prices potentially experiencing increased volatility due to fluctuating demand. As more consumers transition to EVs, the traditional correlation between economic growth and oil demand may weaken, leading to new pricing and supply strategies in the petroleum industry. Norway serves as a pertinent case study, exemplifying the impact of EV adoption on the petroleum sector. With EVs accounting for over 54.3% of new car sales in 2020, the country has seen a marked decrease in gasoline and diesel consumption. In response, Norwegian oil companies are investing heavily in offshore wind energy projects and other renewable ventures to adapt to the changing market landscape."
8,CO2 emissions,Global,IEA projection,2035,Pre-EV adoption levels,gigatonnes,-1.8,NA,NA,NA,NA,NA,21,Projected reduction in CO2 emissions due to widespread EV adoption.,"Collectively,thesestudiesprovideacomprehensiveviewofthefactorsinfluencingEV adoption,includingconsumerbehavior,policyimpacts,technologicalinnovations,andmarketstrategies. Theyunderscorethenecessityofintegratingconsumerinsights,technological readiness, and strategic policy frameworks to facilitate a sustainable transition to electric mobility. Futureresearchshouldcontinuetoaddresstheseinterconnectedelements,focusing onovercomingbarrierstoadoptionandenhancingtheappealofEVstoabroaderaudience. Impact of Electric Transportation on the Energy Sector: Focus on the Petroleum Industry The rise of electric transportation is transforming the energy sector, bringing significant implications for the petroleum industry. The increasing adoption of EVs directly reduces the demand for petroleum products. According to the IEA, the global EV fleet is projected to displace approximately six million barrels of oil per day by 2030. This substantial reduction in petroleum demand presents a significant challenge for the oil industry, traditionally reliant on transportation fuels as a major revenue source. The decline in petroleum demand driven by EV growth is prompting major oil companies to reassess their business models. Companies like BP and Shell are increasingly investing in renewable energy sources and EV charging infrastructure. For instance, Shell aims to operate over 500,000 EV charge points globally by 2025. These strategic shifts are designed to diversify revenue streams and mitigate the financial impact of reduced oil consumption. Furthermore, the environmental benefits of reduced petroleum consumption are substantial. The shift from internal combustion engine vehicles to EVs results in lower greenhouse gas emissions and decreased air pollution. According to the IEA, by 2035, the widespread adoption of EVs could reduce CO2 emissions by 1.8 gigatonnes, with further reductions expected through 2040. This transition supports global efforts to combat climate change and promotes cleaner air in urban areas. Government policies also play a crucial role in accelerating EV adoption and subsequently impacting the petroleum sector. Policies such as subsidies for EV purchases, stringent emission regulations, and investments in charging infrastructure are driving the shift toward electric mobility. For example, the European Union’s Green Deal aims to reduce net greenhouse gas emissions by at least 55% by 2030, significantly impacting oil demand in the region. Additionally, market dynamics are evolving, with oil prices potentially experiencing increased volatility due to fluctuating demand. As more consumers transition to EVs, the traditional correlation between economic growth and oil demand may weaken, leading to new pricing and supply strategies in the petroleum industry. Norway serves as a pertinent case study, exemplifying the impact of EV adoption on the petroleum sector. With EVs accounting for over 54.3% of new car sales in 2020, the country has seen a marked decrease in gasoline and diesel consumption. In response, Norwegian oil companies are investing heavily in offshore wind energy projects and other renewable ventures to adapt to the changing market landscape."
9,EV adoption,Norway,Observed data,2020,Pre-2020 levels,percent of new car sales,54.3,NA,NA,NA,NA,NA,21,EV market share in new car sales.,"Collectively,thesestudiesprovideacomprehensiveviewofthefactorsinfluencingEV adoption,includingconsumerbehavior,policyimpacts,technologicalinnovations,andmarketstrategies. Theyunderscorethenecessityofintegratingconsumerinsights,technological readiness, and strategic policy frameworks to facilitate a sustainable transition to electric mobility. Futureresearchshouldcontinuetoaddresstheseinterconnectedelements,focusing onovercomingbarrierstoadoptionandenhancingtheappealofEVstoabroaderaudience. Impact of Electric Transportation on the Energy Sector: Focus on the Petroleum Industry The rise of electric transportation is transforming the energy sector, bringing significant implications for the petroleum industry. The increasing adoption of EVs directly reduces the demand for petroleum products. According to the IEA, the global EV fleet is projected to displace approximately six million barrels of oil per day by 2030. This substantial reduction in petroleum demand presents a significant challenge for the oil industry, traditionally reliant on transportation fuels as a major revenue source. The decline in petroleum demand driven by EV growth is prompting major oil companies to reassess their business models. Companies like BP and Shell are increasingly investing in renewable energy sources and EV charging infrastructure. For instance, Shell aims to operate over 500,000 EV charge points globally by 2025. These strategic shifts are designed to diversify revenue streams and mitigate the financial impact of reduced oil consumption. Furthermore, the environmental benefits of reduced petroleum consumption are substantial. The shift from internal combustion engine vehicles to EVs results in lower greenhouse gas emissions and decreased air pollution. According to the IEA, by 2035, the widespread adoption of EVs could reduce CO2 emissions by 1.8 gigatonnes, with further reductions expected through 2040. This transition supports global efforts to combat climate change and promotes cleaner air in urban areas. Government policies also play a crucial role in accelerating EV adoption and subsequently impacting the petroleum sector. Policies such as subsidies for EV purchases, stringent emission regulations, and investments in charging infrastructure are driving the shift toward electric mobility. For example, the European Union’s Green Deal aims to reduce net greenhouse gas emissions by at least 55% by 2030, significantly impacting oil demand in the region. Additionally, market dynamics are evolving, with oil prices potentially experiencing increased volatility due to fluctuating demand. As more consumers transition to EVs, the traditional correlation between economic growth and oil demand may weaken, leading to new pricing and supply strategies in the petroleum industry. Norway serves as a pertinent case study, exemplifying the impact of EV adoption on the petroleum sector. With EVs accounting for over 54.3% of new car sales in 2020, the country has seen a marked decrease in gasoline and diesel consumption. In response, Norwegian oil companies are investing heavily in offshore wind energy projects and other renewable ventures to adapt to the changing market landscape."
