,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,BI Loss,Global,Historical,1992,No CC,USD (2005 PPP),26.9,NA,NA,NA,NA,NA,Page 1,"Average for 1960-2013, billion"
1,Asset Damage,Global,Historical,1992,No CC,USD (2005 PPP),130.9,NA,NA,NA,NA,NA,Page 1,"Average for 1960-2013, billion"
2,BI Loss per GDP,Global,RCP8.5/SSP3,2076,1986,%,0.32,NA,NA,NA,NA,NA,Page 1,Increase for 2061-2090 average vs. 1971-2000 average
3,Asset Damage per GDP,Global,RCP8.5/SSP3,2076,1986,%,1.78,NA,NA,NA,NA,NA,Page 1,Increase for 2061-2090 average vs. 1971-2000 average
4,Business Interruption Loss,Global,Reanalysis,2013,1960,USD (2005 PPP),26.9,NA,NA,NA,NA,NA,Page 9,The average annual value of business interruption losses over the period 1960–2013. Units are billions.
5,Asset Damage,Global,Reanalysis,2013,1960,USD (2005 PPP),130.9,NA,NA,NA,NA,NA,Page 9,The average annual value of asset damage over the period 1960–2013. Units are billions.
6,Asset Damage,Global,NA,1999,No CC,USD (2005 PPP),96000000000,NA,NA,NA,NA,NA,Page 10,Estimated average during 1960-1999 as compared to previous studies.
7,BI Loss,Global,Historical,1960,No CC,USD (2005 PPP),26.9e9,NA,NA,NA,NA,NA,Review,Average from 1960-2013
8,Asset Damage,Global,Historical,1960,No CC,USD (2005 PPP),130.9e9,NA,NA,NA,NA,NA,Review,Average from 1960-2013
9,BI Loss per GDP,Global,RCP8.5/SSP3,2075,1985,%,0.32,NA,NA,NA,NA,NA,Review,Projected increase (2061-2090 average vs. 1971-2000 average)
10,Asset Damage per GDP,Global,RCP8.5/SSP3,2075,1985,%,1.78,NA,NA,NA,NA,NA,Review,Projected increase (2061-2090 average vs. 1971-2000 average)
11,BI Loss,Global,Historical,1960,No CC,Billion USD,26.9,NA,NA,NA,NA,NA,Review of Paper,"Average, 1960-2013"
12,Asset Damage,Global,Historical,1960,No CC,Billion USD,130.9,NA,NA,NA,NA,NA,Review of Paper,"Average, 1960-2013"
13,BI Loss,Global,RCP8.5/SSP3,2075,1971-2000,% of GDP,0.32,NA,NA,NA,NA,NA,Review of Paper,2061-2090 average vs. 1971-2000 average
14,Asset Damage,Global,RCP8.5/SSP3,2075,1971-2000,% of GDP,1.78,NA,NA,NA,NA,NA,Review of Paper,2061-2090 average vs. 1971-2000 average
15,BI Loss,Global,RCP8.5/SSP3,2075,1971-2000,Billion USD,940.4,NA,NA,NA,NA,NA,Table 3,2061-2090 average
16,Asset Damage,Global,RCP8.5/SSP3,2075,1971-2000,Billion USD,5201.3,NA,NA,NA,NA,NA,Table 3,2061-2090 average
17,BI Loss,Global,RCP8.5/SSP3,2075,1971-2000,% of GDP,0.42,NA,NA,NA,NA,NA,Table 3,2061-2090 average
18,Asset Damage,Global,RCP8.5/SSP3,2075,1971-2000,% of GDP,2.33,NA,NA,NA,NA,NA,Table 3,2061-2090 average
19,BI Loss,Global,Historical,1985,No CC,Billion USD,27.2,NA,NA,NA,NA,NA,Table 3,1971-2000 average
20,Asset Damage,Global,Historical,1985,No CC,Billion USD,150.0,NA,NA,NA,NA,NA,Table 3,1971-2000 average
21,BI Loss,Global,Historical,1985,No CC,% of GDP,0.10,NA,NA,NA,NA,NA,Table 3,1971-2000 average
22,Asset Damage,Global,Historical,1985,No CC,% of GDP,0.55,NA,NA,NA,NA,NA,Table 3,1971-2000 average
23,BI Loss,Global,RCP8.5/SSP3,2035,1971-2000,Billion USD,435.5,NA,NA,NA,NA,NA,Table 3,2021-2050 average
24,Asset Damage,Global,RCP8.5/SSP3,2035,1971-2000,Billion USD,2586.1,NA,NA,NA,NA,NA,Table 3,2021-2050 average
25,BI Loss,Global,RCP8.5/SSP3,2035,1971-2000,% of GDP,0.29,NA,NA,NA,NA,NA,Table 3,2021-2050 average
26,Asset Damage,Global,RCP8.5/SSP3,2035,1971-2000,% of GDP,1.74,NA,NA,NA,NA,NA,Table 3,2021-2050 average
