,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Adaptation,Russia,Sustainable Dev,Economic Efficiency,MonetaryBenefits / AdaptationCost,Economic,Need,Ratio,4.0,NA,NA,NA,NA,NA,Page 1,Benefits outweigh costs by a factor of 4 on average.
1,All,Climate Change Impacts,Global,VI IPCC Report,Avoided Damage,AvoidedImpact,Economic,Need,Million People,132,NA,NA,NA,NA,NA,Page 1,Increase in the number of poor people in the next decade due to climate change.
2,All,Climate Change Impacts,Global,VI IPCC Report,Avoided Migration,AvoidedImpact,Economic,Need,Million People,216,NA,NA,NA,NA,NA,Page 1,Number of climate migrants by 2050.
3,Business and Households,Climate Related Disasters,Russia,NA,Hydromet Hazard Damage,BaselineImpact,Economic,Need,Billion USD,39.1,NA,NA,NA,NA,64.7,Page 1,Range of damage to business and households from dangerous hydrometeorological events.
4,Infrastructure,Adaptation,Developing countries,NA,BaselineImpact,BaselineImpact [% of GDP],Economic,Need,%,1,NA,NA,NA,NA,NA,Page 2,Losses to infrastructure only
5,All,Adaptation,Developing countries,NA,AdaptationCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,22,NA,NA,NA,NA,NA,Page 2,Expenditure as of 2016
6,All,Adaptation,Developing countries,NA,AdaptationCost,AdaptationCost [% of GDP],Monetary,Need,%,0.15,NA,NA,NA,NA,NA,Page 2,Expenditure as of 2019
7,Infrastructure,Remote sensing,Developing Countries,NA,AvoidedImpact,AvoidedImpact [million USD / yr],Economic,Need,million USD / yr,200,NA,NA,NA,NA,NA,p.49,Savings from concentrating adaptation efforts on vulnerable infrastructure based on accurate spatial risk knowledge.
8,Municipalities,Permafrost adaptation,Russia,NA,BaselineImpact,BaselineImpact [billion RUB / yr],Economic,Need,billion RUB / yr,200,NA,NA,NA,NA,NA,p.49,"Expected damage from permafrost degradation in Arctic zone of Russia, averaged annually from 2020-2050."
9,Infrastructure,Infrastructure adaptation,Russia,NA,AdaptationCost,AdaptationCost [billion RUB / yr],Economic,Need,billion RUB / yr,50,NA,NA,NA,NA,NA,p.49,Additional cost to adapt infrastructure (primarily road and social) to climate change impacts.
10,All,Adaptation,Global,NA,MonetaryBenefits,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,4,NA,NA,NA,NA,NA,p. 6,Global Commission on Adaptation estimate from 2019: 1.8 trillion USD adaptation brings 7.1 trillion USD benefits.
11,All,EarlyWarning,Global,NA,MonetaryBenefits,MonetaryBenefits / AdaptationCost,Economic,Lead,ratio,10,NA,NA,NA,NA,NA,p. 6,Benefit-cost ratio for early warning systems.
12,Coastal,CoastalDefenses,Global,NA,MonetaryBenefits,MonetaryBenefits / AdaptationCost,Economic,Lead,ratio,6,NA,NA,NA,NA,NA,p. 6,Benefit-cost ratio for protecting coastal mangrove vegetation.
13,Infrastructure,ResilientInfra,Global,NA,MonetaryBenefits,MonetaryBenefits / AdaptationCost,Economic,Lead,ratio,5,NA,NA,NA,NA,NA,p. 6,Benefit-cost ratio for climate-resilient infrastructure.
14,Agriculture,DroughtCrops,Global,NA,MonetaryBenefits,MonetaryBenefits / AdaptationCost,Economic,Lead,ratio,5,NA,NA,NA,NA,NA,p. 6,Benefit-cost ratio for drought-resistant crops.
15,All,Adaptation,Developing Countries,Climate Change,AdaptationCost,AdaptationCost(delayed)/AdaptationCost(timely),Monetary,Need,ratio,2,NA,NA,NA,NA,NA,p. 6,Delayed investment decision by 10 years doubles adaptation costs on average for developing countries.
16,All,Adaptation,World,Sustainable Dev,Economic efficiency,MonetaryBenefits / AdaptationCost,Economic,Need,Ratio,4,NA,NA,NA,NA,NA,Abstract,World average benefits surpass costs fourfold.
