,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Mortality Risk,Temperate Climates,Observed,2000,No CC,%,14.79,NA,NA,13.61,NA,15.99,Page 5,Highest increase in mortality risk; Köppen climate classification C; representative year chosen
1,Mortality Risk,Polar Climates,Observed,2000,No CC,%,-0.45,NA,NA,-11.91,NA,12.50,Page 5,Lowest increase in mortality risk; Köppen climate classification E; representative year chosen
2,Mortality Risk,High-Income Countries,Observed,2000,No CC,%,13.58,NA,NA,12.56,NA,14.61,Page 5,representative year chosen
3,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-11.50,NA,NA,NA,NA,NA,Page 7,Climate zone A (tropical). Using midpoint of 1990-2010
4,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-11.48,NA,NA,NA,NA,NA,Page 7,Climate zone B (arid). Using midpoint of 1990-2010
5,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-14.79,NA,NA,NA,NA,NA,Page 7,Climate zone C (temperate). Using midpoint of 1990-2010
6,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-9.82,NA,NA,NA,NA,NA,Page 7,Climate zone D (continental). Using midpoint of 1990-2010
7,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,0.45,NA,NA,NA,NA,NA,Page 7,Climate zone E (polar). Using midpoint of 1990-2010
8,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-12.34,NA,NA,NA,NA,NA,Page 7,Lower-middle income. Using midpoint of 1990-2010
9,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-11.48,NA,NA,NA,NA,NA,Page 7,Upper-middle income. Using midpoint of 1990-2010
10,Mortality,Global,Not Specified,2000,10th vs 100th % freq,%,-13.58,NA,NA,NA,NA,NA,Page 7,High income. Using midpoint of 1990-2010
