,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP per capita growth,African countries,Historical mean climate,2019,No CC,percent,-10,NA,NA,NA,NA,NA,1,"Climate-induced losses, averaged over past period"
1,GDP per capita growth,African countries,Historical mean climate,2019,No CC,percent,-15,NA,NA,NA,NA,NA,1,"Climate-induced losses, averaged over past period"
2,Millet Yield,African continent,NA,2012,No CC,Percent,-10,NA,NA,NA,NA,NA,Page 3,Mean risk on yield of Millet projected to decrease by 10% based on 2012 study.
3,Wheat Yield,African continent,NA,2012,No CC,Percent,-17,NA,NA,NA,NA,NA,Page 3,Mean risk on yield of Wheat projected to decrease by 17% based on 2012 study.
4,Maize Yield,African continent,NA,2012,No CC,Percent,-5,NA,NA,NA,NA,NA,Page 3,Mean risk on yield of Maize projected to decrease by 5% based on 2012 study.
5,Sorghum Yield,African continent,NA,2012,No CC,Percent,-15,NA,NA,NA,NA,NA,Page 3,Mean risk on yield of Sorghum projected to decrease by 15% based on 2012 study.
6,Irrigated Rice Yield,Western Africa,NA,2017,No CC,Percent,-45,NA,NA,NA,NA,NA,Page 3,Irrigated rice yields in dry season could decrease by up to 45% without adaptation according to a 2017 study.
7,Rice Yield with Adaptation,Western Africa,NA,2017,No CC,Percent,-15,NA,NA,NA,NA,NA,Page 3,"With adaptation measures, irrigated rice yields could decrease by 15% according to a 2017 study."
8,Lost Working Days,Western Africa,SRES A2,2050,No CC,Percentage points,3.4,NA,NA,NA,NA,NA,Page 3,Increase in lost working days due to high temperature by 3.4 percentage points in 2050.
9,Lost Working Days,Western Africa,SRES A2,2050,No CC,Percent,40.3,NA,NA,NA,NA,NA,Page 3,40.3% of working days lost per year due to high temperatures in 2050.
10,GDP per capita,African countries,N/A,2015,N/A,N/A,0,NA,NA,NA,NA,NA,4,External debt has negative influence
11,GDP per capita,African countries,N/A,2015,N/A,N/A,0,NA,NA,NA,NA,NA,4,Remittances have negative influence
12,GDP per capita,African countries,Historical,1986,Historical baseline,percent,-12.5,NA,NA,NA,NA,NA,Page 7,Annual losses in GDP per capita growth ranging from 10% to 15% on average due to climate variability.
13,GDP per capita,African countries,No specific scenario,1970,No CC,percent,-8,NA,NA,NA,NA,NA,Page 7,Comparable studies estimated losses of about 8% in GDP over the period 1970–2010.
14,GDP per capita,African countries,No specific scenario,1960,No CC,percent,-15,NA,NA,NA,NA,NA,Page 7,Estimated a decrease of 15% in GDP per capita due to precipitation alone from 1960 to 2000.
15,GDP growth,African countries,SSP2,2050,2006–2015,percent,0,NA,NA,NA,NA,NA,Page 7,Model estimates climate-induced GDP growth risk adjustments relative to the reference period 2006–2015.
16,Climate impact,African countries,No specific scenario,1980,No CC,ratio,0.52,NA,NA,NA,NA,NA,Page 7,Precipitation has a greater influence than temperature on GDP per capita in the period 1980–2014.
17,GDP per capita growth,Eastern Africa,RCP2.6,2030,SSP2,%,0.19,NA,25%,-1.42,75%,0.53,Page 9,Median value
18,GDP per capita growth,Eastern Africa,RCP8.5,2030,SSP2,%,0.70,NA,25%,-1.94,75%,0.20,Page 9,Median value
19,GDP per capita growth,Central Africa,RCP2.6,2030,SSP2,%,1.85,NA,25%,-4.18,75%,0.20,Page 9,Median value
20,GDP per capita growth,Central Africa,RCP8.5,2030,SSP2,%,2.30,NA,25%,-4.79,75%,0.33,Page 9,Median value
21,GDP per capita growth,Northern Africa,RCP2.6,2030,SSP2,%,0.47,NA,25%,-2.48,75%,0.50,Page 9,Median value
22,GDP per capita growth,Northern Africa,RCP8.5,2030,SSP2,%,0.97,NA,25%,-2.96,75%,0.26,Page 9,Median value
23,GDP per capita growth,Southern Africa,RCP2.6,2030,SSP2,%,0.97,NA,25%,-2.83,75%,0.22,Page 9,Median value
24,GDP per capita growth,Southern Africa,RCP8.5,2030,SSP2,%,0.89,NA,25%,-2.67,75%,0.16,Page 9,Median value
25,GDP per capita growth,Western Africa,RCP2.6,2030,SSP2,%,0.87,NA,25%,-3.06,75%,0.89,Page 9,Median value
26,GDP per capita growth,Western Africa,RCP8.5,2030,SSP2,%,1.64,NA,25%,-4.77,75%,0.33,Page 9,Median value
27,Income Convergence Delay,African countries,RCP8.5,2050,SSP2,Years,10,NA,NA,NA,NA,NA,Page 9,"Delay measured with Gini index, median value"
28,Income Convergence Delay,African countries,RCP8.5,2050,SSP2,Years,11,NA,NA,NA,NA,NA,Page 9,"Delay measured with Atkinson index, median value"
29,Income Convergence Delay,African countries,RCP8.5,2050,SSP2,Years,19,NA,NA,NA,95%,NA,Page 9,Upper bound (95% confidence interval) of the Atkinson index
30,Income Convergence Delay,African countries,RCP2.6,2050,SSP2,Years,5,NA,NA,NA,NA,NA,Page 9,"Delay measured with Gini index, median value"
31,Income Convergence Delay,African countries,RCP2.6,2050,SSP2,Years,7,NA,NA,NA,NA,NA,Page 9,"Delay measured with Atkinson index, median value"
32,Delayed convergence,African countries,RCP8.5,2050,Baseline,years,12,NA,95%,NA,NA,NA,Page 10 Top Row Left Graph,Delayed convergence in inequality under high warming scenario (Gini coefficient) in unweighted measure.
