,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Employment,Puerto Rico,Average Hurricane,2007,Pre-hurricane employment,%,-0.5,NA,NA,NA,NA,NA,Page 1,"Average employment fall after the average hurricane, using panel local projections. The study period is 1995-2019. 2007 is the midpoint year of the study."
1,Employment,Puerto Rico,Average Hurricane,2007,Pre-hurricane,%,-0.5,NA,NA,NA,NA,NA,2,Average employment fall after about six months.  Using midpoint of the 1995-2019 study period.
2,Hurricane Exposure,Puerto Rico,Historical,2006,No storms,Index,0.004,0.057,NA,NA,NA,NA,Page 4,"Monthly data, all exposures (including zero exposures), using average of 1995-2017"
3,Hurricane Exposure,Puerto Rico,Historical,2006,No storms,Index,0.084,0.242,NA,NA,NA,NA,Page 4,"Monthly data, positive exposures only, using average of 1995-2017"
4,Hurricane Exposure,Puerto Rico,Historical,2006,No storms,Index,0.013,0.098,NA,NA,NA,NA,Page 4,"Quarterly data, all exposures (including zero exposures), using average of 1995-2017"
5,Hurricane Exposure,Puerto Rico,Historical,2006,No storms,Index,0.092,0.253,NA,NA,NA,NA,Page 4,"Quarterly data, positive exposures only, using average of 1995-2017"
6,Employment,Puerto Rico,Historical,2006,No employment,People,674800,NA,NA,NA,NA,NA,Page 4,"Average private sector employment, using average of 1995-2017"
7,Employment,Puerto Rico,Historical,2006,No employment,Percent,18.4,NA,NA,NA,NA,NA,Page 4,"Retail Trade (NAICS44-45), using average of 1995-2017"
8,Employment,Puerto Rico,Historical,2006,No employment,Percent,17.2,NA,NA,NA,NA,NA,Page 4,"Manufacturing (NAICS 30), using average of 1995-2017"
9,Employment,Puerto Rico,Historical,2006,No employment,Percent,9.7,NA,NA,NA,NA,NA,Page 4,"Health care and social assistance (NAICS 62), using average of 1995-2017"
10,Employment,Puerto Rico,Historical,2006,No employment,Percent,9.1,NA,NA,NA,NA,NA,Page 4,"Accommodation and Food Services (NAICS 72), using average of 1995-2017"
11,Employment,Puerto Rico,Historical,2006,No employment,Percent,8.7,NA,NA,NA,NA,NA,Page 4,"Administrative and Waste services (NAICS 46), using average of 1995-2017"
12,Employment,Puerto Rico,Historical,2006,No employment,Percent,7.1,NA,NA,NA,NA,NA,Page 4,"Construction (NAICS 23), using average of 1995-2017"
13,Employment,Puerto Rico,Historical,2006,No employment,NAICS,325,NA,NA,NA,NA,NA,Page 4,"Chemical manufacturing, using average of 1995-2017"
14,Employment,Puerto Rico,Historical,2006,No employment,NAICS,311,NA,NA,NA,NA,NA,Page 4,"Food manufacturing, using average of 1995-2017"
15,Employment,Puerto Rico,Historical,2006,No employment,NAICS,315,NA,NA,NA,NA,NA,Page 4,"Apparel manufacturing, using average of 1995-2017"
16,Employment,Puerto Rico,Average Hurricane,2017,No Hurricane,%,-0.5,NA,NA,NA,NA,NA,7,Average employment falls after ~6 months.
17,Employment (Construction),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Construction of buildings (NAICS 236)
18,Employment (Construction),Puerto Rico,Average Hurricane,2017,No Hurricane,%,5,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Heavy and civil engineering constructions (NAICS 237)
19,Employment (Construction),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Special trade contractors (NAICS 238)
20,Employment (Manufacturing),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Primary metal manufacturing (NAICS 331)
21,Employment (Manufacturing),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Fabricated metal product manufacturing (NAICS 332)
22,Employment (Furniture),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth (delayed) in Furniture Manufacturing (NAICS 337)
23,Employment (Retail),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Furniture and home furniture stores (NAICS 442)
24,Employment (Retail),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Building material and garden supply stores (NAICS 444)
25,Employment (Services),Puerto Rico,Average Hurricane,2017,No Hurricane,%,2,NA,NA,NA,NA,NA,7,Growth 6 months post-hurricane in Administrative and support services (NAICS 561)
26,Employment (Crop Production),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Crop production (NAICS 111)
27,Employment (Animal Production),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Animal production and aquaculture (NAICS 112)
28,Employment (Printing),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Printing and related support activity (NAICS 323)
29,Employment (Retail),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Clothing stores (NAICS 448)
30,Employment (Retail),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,"Employment fall in Sport, book and music stores (NAICS 451)"
31,Employment (Retail),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in General merchandise stores (NAICS 452)
32,Employment (Transportation),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Scenic and Sightseeing transportation (NAICS 487)
33,Employment (Tourism),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,"Employment fall in Museums, Historical Sites, Zoos and Parks (NAICS 712)"
34,Employment (Accommodation),Puerto Rico,Average Hurricane,2017,No Hurricane,%,-1,NA,NA,NA,NA,NA,7,Employment fall in Accommodation (NAICS 721)
35,Employment,Puerto Rico,Hurricane exposure,2019,No hurricane,%,0.0,NA,NA,NA,NA,NA,8,"The paper analyzes the employment response of industries in Puerto Rico to hurricanes, indicating heterogeneity (strengthened, weakened, or neutral responses), but precise percentage change values are not reported on this page. I've entered a placeholder value of 0.0, but note it's not directly from the text."
36,Construction Employment,Puerto Rico,Historical Observations,2017,No Disaster Context,Percent increase,1.2,,NA,NA,NA,NA,Page 10,"Construction employment rises sharply within one year of a hurricane, reaching levels about 1.2% higher than in the absence of disaster."
37,Employment,Puerto Rico,Observed,2019,Hurricane shock,Coefficient,-1.30,0.27,NA,NA,NA,NA,p. 12,"Amusements, gambling, and recreation industry, 12-months horizon, average across 1995-2019"
38,Employment,Puerto Rico,Observed,2019,Hurricane shock,Coefficient,-2.39,0.16,NA,NA,NA,NA,p. 12,"Accommodation industry, 12-months horizon, average across 1995-2019"
39,Employment,Puerto Rico,Observed,2019,Hurricane shock,Coefficient,-0.70,0.19,NA,NA,NA,NA,p. 12,"Personal and laundry services, 12-months horizon, average across 1995-2019"
40,Labor force,Florida Municipio,Historical,1995,No CC,count,2573,NA,NA,NA,NA,NA,18,Initial labor force
41,Labor force share,Florida Municipio,Historical,1995,No CC,percent,0.21,NA,NA,NA,NA,NA,18,Initial labor force share
42,Labor force,Florida Municipio,Historical,2019,1995,percent,25.70,NA,NA,NA,NA,NA,18,Change in labor force
43,Labor force,Maricao Municipio,Historical,1995,No CC,count,2143,NA,NA,NA,NA,NA,18,Initial labor force
44,Labor force share,Maricao Municipio,Historical,1995,No CC,percent,0.17,NA,NA,NA,NA,NA,18,Initial labor force share
45,Labor force,Maricao Municipio,Historical,2019,1995,percent,-9.44,NA,NA,NA,NA,NA,18,Change in labor force
46,Labor force,Culebra Municipio,Historical,1995,No CC,count,746,NA,NA,NA,NA,NA,18,Initial labor force
47,Labor force share,Culebra Municipio,Historical,1995,No CC,percent,0.06,NA,NA,NA,NA,NA,18,Initial labor force share
48,Labor force,Culebra Municipio,Historical,2019,1995,percent,13.64,NA,NA,NA,NA,NA,18,Change in labor force
49,Labor force,Puerto Rico,Historical,1995,No CC,count,1226600,NA,NA,NA,NA,NA,18,Initial labor force
50,Labor force share,Puerto Rico,Historical,1995,No CC,percent,100.00,NA,NA,NA,NA,NA,18,Initial labor force share
51,Labor force,Puerto Rico,Historical,2019,1995,percent,-11.1,NA,NA,NA,NA,NA,18,Change in labor force
