,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Adaptation,Russia,NA,Cost-Benefit Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,4,NA,NA,NA,NA,NA,Page 1,Average benefits are four times greater than the cost.
1,All,Adaptation,Russia,NA,Loss Reduction,AvoidedImpact,Economic,Need,USD,391,NA,NA,NA,NA,647,Page 1,Calculated damage range from hazardous hydrometeorological events.
2,All,Adaptation,Developing Countries,N/A,State Expenditure,AdaptationCost,Monetary,Need,USD,70000000000,NA,NA,NA,NA,NA,Page 2,"The costs of adaptation in developing countries were estimated to be 70 billion USD as of 2019, which is 5-10 times less than needed for sustainable development."
3,Infrastructure,Scientific Research,Developing Countries,NA,Avoided Damages,AvoidedImpact,Economic,Need,USD,200000000000,NA,NA,NA,NA,NA,Page 5,Investment in scientific research and tech helps avoid damages
4,Infrastructure,Adaptation,Russian Arctic,Permafrost 2020-2050,Cost of Damage,BaselineImpact,Monetary,Need,RUB per year,200000000000,NA,NA,NA,NA,NA,Page 5,Damage due to permafrost thaw in the Russian Arctic.
5,Infrastructure,Adaptation,Russian Arctic,Permafrost 2020-2050,Adaptation Costs,AdaptationCost,Fiscal,Need,RUB per year,50000000000,NA,NA,NA,NA,NA,Page 5,Additional adaptation costs for infrastructure in the Russian Arctic.
6,All,Adaptation,World,NA,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,4,NA,NA,NA,NA,NA,p.6,"Based on the Global Commission on Adaptation 2019 report, with ratios exceeding 4:1."
7,Natural Disasters,Early Warning,World,NA,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,10,NA,NA,NA,NA,NA,p.6,Investments in early warning systems provide the greatest effect.
8,Coastal,Coastal Vegetation,World,NA,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,6,NA,NA,NA,NA,NA,p.6,"Investment in coastal vegetation protection (mangroves, etc.)"
9,Infrastructure,Resilient Infrastructure,World,NA,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,5,NA,NA,NA,NA,NA,p.6,Investments in climate resilient new infrastructure.
10,Agriculture,Drought-Resistant Crops,World,NA,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,5,NA,NA,NA,NA,NA,p.6,Investments in drought-resistant grain crops.
11,All,Adaptation,Developing Countries,Accelerating Climate Change,Increase in Adaptation Costs,AdaptationCost(Delayed) / AdaptationCost(Timely),Economic,Need,ratio,2,NA,NA,NA,NA,NA,p.6,Delaying adaptation investment decisions by 10 years doubles costs in developing countries. Estimated by World Bank experts.
12,All,Adaptation,World,NA,Investment,AdaptationCost,Monetary,Need,trillion USD/year,1.8,NA,NA,NA,NA,NA,p.6,Annual global adaptation investments needed.
13,All,Adaptation,World,NA,Avoided Costs,AvoidedImpact,Monetary,Need,trillion USD/year,7.1,NA,NA,NA,NA,NA,p.6,Benefits from adaptation in the form of avoided losses.
14,All,Adaptation,World,NA,Cost-Benefit Ratio,MonetaryBenefits/AdaptationCost,Economic,Need,ratio,4,NA,NA,NA,NA,NA,Page 10,World average benefits surpassing costs fourfold.
