,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,NDP,US,Historical,1980,No CC,%,0.12,NA,NA,NA,NA,NA,Page 10,Impact of trend value of billion-dollar weather and climate disasters as portion of NDP,
1,NDP,US,Historical,2023,No CC,%,0.40,NA,NA,NA,NA,NA,Page 10,Impact of trend value of billion-dollar weather and climate disasters as portion of NDP,
2,Consumption of fixed capital,US,Historical,1980,No CC,%,0.67,NA,NA,NA,NA,NA,Page 10,Impact of trend value of billion-dollar weather and climate disasters as portion of (adjusted) Consumption of fixed capital,
3,Consumption of fixed capital,US,Historical,2013,No CC,%,1.95,NA,NA,NA,NA,NA,Page 10,Impact of trend value of billion-dollar weather and climate disasters as portion of (adjusted) Consumption of fixed capital,
4,Net domestic product,US,Historical,1980,No CC,billions of dollars,2819.3,NA,NA,NA,NA,NA,Table on Page 10,Data for 1980-1985,
5,Net domestic product,US,Historical,1985,No CC,billions of dollars,3698.4,NA,NA,NA,NA,NA,Table on Page 10,Data for 1980-1985,
6,Consumption of fixed capital,US,Historical,1980,No CC,billions of dollars,428.4,NA,NA,NA,NA,NA,Table on Page 10,Data for 1980-1985,
7,Consumption of fixed capital,US,Historical,1985,No CC,billions of dollars,658.8,NA,NA,NA,NA,NA,Table on Page 10,Data for 1980-1985,
8,Disaster Costs,US,Historical,1980,No CC,billions of dollars,3.0,NA,NA,NA,NA,NA,Table on Page 10,Billion-dollar disasters,
9,Disaster Costs,US,Historical,1985,No CC,billions of dollars,3.0,NA,NA,NA,NA,NA,Table on Page 10,Billion-dollar disasters,
10,Disaster Trend,US,Historical,1980,No CC,billions of dollars,1.7,NA,NA,NA,NA,NA,Table on Page 10,Trend value,
11,Disaster Trend,US,Historical,1985,No CC,billions of dollars,3.9,NA,NA,NA,NA,NA,Table on Page 10,Trend value,
12,Consumption of fixed capital,US,Historical,1980,No CC,billions of dollars,431.4,NA,NA,NA,NA,NA,Table on Page 10,Sum of CFC and disaster costs,
13,Consumption of fixed capital,US,Historical,1985,No CC,billions of dollars,661.8,NA,NA,NA,NA,NA,Table on Page 10,Sum of CFC and disaster costs,
14,Consumption of fixed capital,US,Historical,1980,No CC,billions of dollars,430.1,NA,NA,NA,NA,NA,Table on Page 10,Sum of CFC and disaster trend,
15,Consumption of fixed capital,US,Historical,1985,No CC,billions of dollars,662.7,NA,NA,NA,NA,NA,Table on Page 10,Sum of CFC and disaster trend,
16,Disaster Costs,US,Historical,1980,No CC,%,0.106,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
17,Disaster Costs,US,Historical,1985,No CC,%,0.106,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
18,Disaster Trend,US,Historical,1980,No CC,%,0.060,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
19,Disaster Trend,US,Historical,1985,No CC,%,0.106,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
20,Consumption of fixed capital,US,Historical,1980,No CC,%,15.2,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
21,Consumption of fixed capital,US,Historical,1985,No CC,%,17.8,NA,NA,NA,NA,NA,Table on Page 10,As % of NDP,
22,Consumption of fixed capital,US,Historical,1980,No CC,%,15.3,NA,NA,NA,NA,NA,Table on Page 10,"Sum of CFC and disaster costs, as % of NDP",
23,Consumption of fixed capital,US,Historical,1985,No CC,%,17.9,NA,NA,NA,NA,NA,Table on Page 10,"Sum of CFC and disaster costs, as % of NDP",
24,Consumption of fixed capital,US,Historical,1980,No CC,%,15.3,NA,NA,NA,NA,NA,Table on Page 10,"Sum of CFC and disaster trend, as % of NDP",
25,Consumption of fixed capital,US,Historical,1985,No CC,%,17.9,NA,NA,NA,NA,NA,Table on Page 10,"Sum of CFC and disaster trend, as % of NDP",
