,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Economic output,Global,Anthropogenic extreme heat,2013,No CC,Trillion $,-33,NA,NA,NA,NA,NA,sourcematerial,Cumulative global losses due to extreme heat average more than $33 trillion in 2013,
1,GDP per capita,Bottom income decile,Anthropogenic extreme heat,2013,No CC,%,-8,NA,NA,NA,NA,NA,sourcematerial,Losses of 8% of GDPpc per year,
2,GDP per capita,Top income decile,Anthropogenic extreme heat,2013,No CC,%,-3.5,NA,NA,NA,NA,NA,sourcematerial,Losses of 3.5% of GDPpc per year,
3,Economic output,Global,Anthropogenic extreme heat,2013,No CC,Trillion $,-5,NA,NA,NA,NA,-29.3,Page 1,"Cumulative 1992–2013 losses from anthropogenic extreme heat likely fall between $5 trillion and $29.3 trillion globally, estimated for the ending year 2013",
4,GDP per capita,Bottom income decile,Anthropogenic extreme heat,2013,No CC,%,-6.7,NA,NA,NA,NA,NA,Page 1,Losses amount to 6.7% of Gross Domestic Product per capita per year for regions in the bottom income decile,
5,GDP per capita,Top income decile,Anthropogenic extreme heat,2013,No CC,%,-1.5,NA,NA,NA,NA,NA,Page 1,Losses amount to 1.5% for regions in the top income decile.,
6,GDP Growth,Brazil,Historical,2013,No CC,percentage points / SD Tx5d,-0.63,NA,NA,NA,NA,NA,Page 2,Average temperature of 23.8°C,
7,GDP Growth,Norway,Historical,2013,No CC,percentage points / SD Tx5d,0.62,NA,NA,NA,NA,NA,Page 2,Average temperature of 4°C,
8,Economic Loss,Global,Historical,2013,No CC,trillion USD,-33,NA,NA,NA,NA,NA,sourcematerial,Cumulative global losses due to extreme heat average,
9,GDP per capita,Low-income regions,Historical,2013,No CC,%,-8,NA,NA,NA,NA,NA,sourcematerial,losses per year,
10,GDP per capita,High-income regions,Historical,2013,No CC,%,-3.5,NA,NA,NA,NA,NA,sourcematerial,losses per year,
11,Economic Loss,Global,Historical,2013,No CC,trillion USD,16,NA,NA,NA,NA,50,sourcematerial,Cumulative low end,
12,GDP Loss,Tropical Countries,Historical,2013,No CC,%,-7,NA,NA,NA,NA,NA,sourcematerial,per year,
13,Economic Loss,Brazil,Historical,2013,No CC,billion USD,-52,NA,NA,NA,NA,NA,sourcematerial,Cumulative,
14,Temperature,Global,CMIP6,2002,No CC,°C,0.77,NA,NA,NA,NA,NA,4,"Regional Tx5d values average 0.77°C more than they would have without warming. Averaged across 1992-2013, reported as middle year.","Empirical evidence from the source text states that ""regional Tx5d values average 0.77°C more than they would have without warming over 1992–2013,"" emphasizing the impact of anthropogenic warming on temperature increase. It also notes that ""the probability of extreme Tx5d values... has substantially increased, with probabilities rising by 13 p.p. across regions, on average."" The same document states, ""GDPpc is >7% per year lower than it would have been without anthropogenic effects on extreme heat in tropical countries,"" demonstrating the significant economic impact in tropical regions. These various points illustrate the outcomes related to temperature, probability of extreme heat, and GDP per capita changes due to anthropogenic climate influences."
15,Probability of extreme heat,Global,CMIP6,2002,No CC,percentage points,13,NA,NA,NA,NA,NA,4,"Probability of extreme Tx5d values increased by 13 p.p. Averaged across 1992-2013, reported as middle year.","Empirical evidence from the source text states that ""regional Tx5d values average 0.77°C more than they would have without warming over 1992–2013,"" emphasizing the impact of anthropogenic warming on temperature increase. It also notes that ""the probability of extreme Tx5d values... has substantially increased, with probabilities rising by 13 p.p. across regions, on average."" The same document states, ""GDPpc is >7% per year lower than it would have been without anthropogenic effects on extreme heat in tropical countries,"" demonstrating the significant economic impact in tropical regions. These various points illustrate the outcomes related to temperature, probability of extreme heat, and GDP per capita changes due to anthropogenic climate influences."
16,GDPpc,Tropics,AntCC,2002,No CC,percent,-7,NA,NA,NA,NA,NA,Abstract,"GDPpc is >7% per year lower than it would have been without anthropogenic effects on extreme heat. Averaged across 1992-2013, reported as middle year.","Empirical evidence from the source text states that ""regional Tx5d values average 0.77°C more than they would have without warming over 1992–2013,"" emphasizing the impact of anthropogenic warming on temperature increase. It also notes that ""the probability of extreme Tx5d values... has substantially increased, with probabilities rising by 13 p.p. across regions, on average."" The same document states, ""GDPpc is >7% per year lower than it would have been without anthropogenic effects on extreme heat in tropical countries,"" demonstrating the significant economic impact in tropical regions. These various points illustrate the outcomes related to temperature, probability of extreme heat, and GDP per capita changes due to anthropogenic climate influences."
17,GDP per capita,Brazil,No CC,2013,Historical baseline,percent per year,-5,NA,NA,NA,NA,NA,Page 5,GDP per capita is >5% per year lower in tropical countries like Brazil due to anthropogenic extreme heat.,
18,GDP per capita,Canada and Finland,No CC,2013,Historical baseline,percent per year,-1,NA,NA,NA,NA,NA,Page 5,Anthropogenic extreme heat changes have depressed GDP per capita by ~1% per year.,
19,Global income,Global,No CC,2013,Historical baseline,trillion dollars,-16,NA,NA,-43,NA,5,Page 5,Cumulative global losses due to extreme heat average more than $16 trillion in 2013.,
20,GDP per capita,Lowest income decile regions,No CC,2013,Historical baseline,percent per year,-6.7,NA,NA,NA,NA,NA,Page 5,Regions in the lowest income decile have experienced losses of 6.7% of GDP per capita per year.,
21,GDP per capita,Top income decile regions,No CC,2013,Historical baseline,percent per year,-1.5,NA,NA,NA,NA,NA,Page 5,Regions in the top income decile have experienced losses of 1.5% of GDP per capita per year.,
22,Economic growth,Global,No CC,2013,No CC,% GDPpc/year,-8,NA,NA,NA,NA,NA,Page 9,"Regions in the lowest income decile have experienced losses of 8% of GDPpc per year, compared to 3.5% in the top income decile; repeated extreme heat events might generate tangible long-term income changes.",
23,Global economic losses,Global,No CC,2013,No CC,Tril USD,-33,NA,NA,-16,NA,-50,Supplementary Materials,Cumulative global losses from anthropogenic extreme heat likely fall between $16 trillion and $50 trillion globally.,
24,Cumulative losses,Brazil,No CC,2013,No CC,Bil USD,-52,NA,NA,NA,NA,NA,Page 4,Cumulative losses over 1992–2013 total $52 billion (2010-equivalent dollars) in the average region in Brazil.,
25,GDP,Global,Historical,2013,No CC,Trillions of 2010 USD,-33,NA,NA,NA,NA,NA,sourcematerial,Cumulative global losses,"Cumulative 1992–2013 losses from anthropogenic extreme heat likely fall between $16 trillion and $50 trillion globally. Losses amount to 8% of Gross Domestic Product per capita per year for regions in the bottom income decile, but only 3.5% for regions in the top income decile.; GDPpc is >7% per year lower than it would have been without anthropogenic effects on extreme heat in tropical countries such as Brazil, Venezuela, and Mali...; ""Cumulative global losses due to extreme heat average more than $33 trillion in 2013...""; ""cumulative losses over 1992–2013 total $52 billion (2010-equivalent dollars) in the average region in Brazil...""; "
