,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Total Factor Productivity,US,RCP4.5,2050,Present rates of innovation,% per year,-2.84,NA,NA,NA,NA,NA,Page 1,Average annual drop under RCP4.5 if relationships between regional climate trends and TFP continue
1,Total Factor Productivity,US,RCP8.5,2050,Present rates of innovation,% per year,-4.34,NA,NA,NA,NA,NA,Page 1,Average annual drop under RCP8.5 if relationships between regional climate trends and TFP continue
2,TFPC,US,NA,1948,NA,% per year,1.43,NA,NA,NA,NA,NA,p. 2,Average annual rate since 1948.
3,TFPC,US,1951-1980 Model,1971,No CC,unitless,0,NA,NA,NA,NA,NA,Fig 3,"The TFPC fluctuations increased and model measurement correspondences became tighter after approximately 1971, indicating a more significant climate contribution during this period. Specifying 0 since the fluctuations were around the zero mark."
4,TFPC Variance Explained,US,1951-1980 Model,1980,No CC,%,50,NA,NA,NA,NA,NA,Page 4,Model 1 explains almost 50% of the total TFPC variance from 1951 to 1980.
5,TFPC Variance Explained,US,1981-2010 Model,2010,No CC,%,70,NA,NA,NA,NA,NA,Page 4,"Model 2 represents around 70% of variance from 1981 to 2010, suggesting agricultural productivity has become more sensitive to climate in recent years."
6,Total Factor Productivity,US,RCP4.5,2040,2010,% per year,-2.84,NA,25%,-1.75,75%,-5.19,Page 10,Calculated as compound annual growth rates from 2010 to 2040.  75% of models project a TFP drop off to pre-1980s levels by 2040.
7,Total Factor Productivity,US,RCP8.5,2040,2010,% per year,-4.34,NA,25%,-2.52,75%,-13.32,Page 10,Calculated as compound annual growth rates from 2010 to 2040.  75% of models project a TFP drop off to pre-1980s levels by 2040.
8,Total Factor Productivity,US,RCP4.5,2020,2010,% per year,-0.69,NA,NA,NA,NA,NA,Page 10,
9,Total Factor Productivity,US,RCP4.5,2030,2020,% per year,-2.40,NA,NA,NA,NA,NA,Page 10,
10,Total Factor Productivity,US,RCP4.5,2040,2030,% per year,-5.38,NA,NA,NA,NA,NA,Page 10,
11,Total Factor Productivity,US,RCP8.5,2020,2010,% per year,-1.37,NA,NA,NA,NA,NA,Page 10,
12,Total Factor Productivity,US,RCP8.5,2030,2020,% per year,-3.26,NA,NA,NA,NA,NA,Page 10,
13,Total Factor Productivity,US,RCP8.5,2040,2030,% per year,-8.25,NA,NA,NA,NA,NA,Page 10,
14,Total Factor Productivity,US,RCP4.5,2040,2010,% per year,-2.97,NA,25%,-1.48,75%,-5.60,Page 10,Using 28-y submodels that represent regression-based uncertainty.
15,Total Factor Productivity,US,RCP8.5,2040,2010,% per year,-4.55,NA,25%,-2.17,75%,-14.43,Page 10,Using 28-y submodels that represent regression-based uncertainty.
16,Total Factor Productivity,US,RCP8.5,2035,No CC,%,-30,NA,25%,NA,75%,NA,"Page 14, Bar Chart",The significant negative change in Total Factor Productivity is particularly pronounced in the RCP8.5 scenario for the 2030-2040 period. Interpolated from the chart to the approximate midpoint of the 2030-2040 range
17,Total Factor Productivity,US,RCP4.5,2035,No CC,%,-20,NA,25%,NA,75%,NA,"Page 14, Bar Chart","The overall period of 2030-2040 under the RCP4.5 scenario shows a substantial negative change in Total Factor Productivity, but less severe than RCP8.5. Interpolated from the chart to the approximate midpoint of the 2030-2040 range"
