,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Total Factor Productivity,Sub-Saharan African countries,Not specified,2020,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,Result of 1°C increase in temperature in poorer nations. The year 2020 is used to indicate the end of the panel data.
1,Total Factor Productivity,Sub-Saharan African countries,Not specified,2020,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,Result of 1°C increase in temperature in poorer nations. The year 2020 is used to indicate the end of the panel data.
2,Productivity Growth,Africa,Not Specified,2002,Technology Adoption,%,3.13,NA,NA,NA,NA,NA,2,Agricultural TFP growth
3,Agricultural Productivity,Africa,Climate Change,2050,Improvements,NA,-1,NA,NA,NA,NA,NA,2,Climate change will offset improvements in agricultural productivity and its contribution to GDP in Africa
4,GDP,Africa,Climate Change,2050,No CC,NA,-1,NA,NA,NA,NA,NA,2,Climate change is highly likely to provoke GDP losses in regions where irrigation is impeded.
5,World Yields,World,CO2 & Tech,2050,No CC,%,1.8,NA,NA,NA,NA,NA,2,CO2 increases world yields by roughly 1.8% with the development of technology.
6,World Yields,World,"CO2, No Tech",2050,No CC,%/decade,-1.5,NA,NA,NA,NA,NA,2,CO2 increases world yields decrease by 1.5% every decade without technology.
7,Food Insecurity,Sub-Saharan Africa,Not Specified,2022,NA,Million People,-123,NA,NA,NA,NA,NA,2,123 million people (12 percent of the SSA’s population) are expected to be acutely food insecure in 2022.
8,Productivity,Worldwide,Climate Change,2050,No CC,NA,-1,NA,NA,NA,NA,NA,2,Its impact negatively influenced the productivity of agricultural businesses and industries
9,Factor Productivity,Worldwide,Climate Change,2050,Adoption Options,NA,-1,NA,NA,NA,NA,NA,2,Consequences will be greater on agricultural factor productivity and environment unless the adoption options are held
10,Food Security,Global,GHG Emissions,2050,NA,NA,-1,NA,NA,NA,NA,NA,2,A serious threat to global food security
11,TFP Growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,1°C increase in temperature in poorer nations.
12,TFP Growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,1°C increase in temperature in poorer nations.
13,Cereal Yield,Not specified,Not specified,2024,Not specified,%,11,NA,NA,NA,NA,NA,Page 3,Yield increase from organic fertilizer treatments.
14,Cereal Yield,Not specified,Not specified,2024,Not specified,%,13,NA,NA,NA,NA,NA,Page 3,Yield increase from organic fertilizer treatments.
15,Net Economic Gain,Not specified,Not specified,2024,Not specified,%,4,NA,NA,NA,NA,NA,Page 3,Net economic gain increase from organic fertilizer treatments.
16,Net Economic Gain,Not specified,Not specified,2024,Not specified,%,5,NA,NA,NA,NA,NA,Page 3,Net economic gain increase from organic fertilizer treatments.
17,TFP Growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,"Per 1°C temperature increase, in poorer nations"
18,TFP Growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,"Per 1°C temperature increase, in poorer nations"
19,Technical Efficiency,Africa,Not specified,2024,Agricultural potential,%,-62,NA,NA,NA,NA,NA,Page 4,Predicted loss due to technological inefficiency.
20,Technical Efficiency,Ethiopia,Not specified,2024,Agricultural potential,%,-34,NA,NA,NA,NA,NA,Page 4,"Implies possibilities for greater crop production efficiency, relative to 100%."
21,Total Factor Productivity,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,1°C temperature increase in poorer nations.
22,Total Factor Productivity,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,1°C temperature increase in poorer nations.
23,TFP Growth,Sub-Saharan African countries,Not specified,2050,No CC,percentage points,-1.1,0,NA,NA,NA,NA,Highlights,"Result for poorer nations, per 1°C increase"
24,TFP Growth,Sub-Saharan African countries,Not specified,2050,No CC,percentage points,-1.8,0,NA,NA,NA,NA,Highlights,"Result for poorer nations, per 1°C increase"
25,Total Factor Productivity,Poorer nations,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,Impact of 1°C temperature increase on TFP growth. Using current year as no other year is specified.
26,Total Factor Productivity,Poorer nations,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,Impact of 1°C temperature increase on TFP growth. Using current year as no other year is specified.
27,TFP growth,Poorer nations,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,-1.8,Highlights,Due to a 1°C increase. Year is publication year.
28,TFP growth,Poorer nations,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,11,Result from a 1°C increase in yearly temperature.
29,TFP growth,Poorer nations,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,11,Result from a 1°C increase in yearly temperature.
30,Land productivity,Sub-Saharan African countries,Not specified,2020,No CC,kg,-5.80,0.0000000355,NA,NA,NA,NA,12,Impact of agricultural methane emissions
31,Land productivity,Sub-Saharan African countries,Not specified,2020,No CC,kg,-5.13,0.00000000768,NA,NA,NA,NA,12,Impact of CO2 emissions
32,Labor productivity,Sub-Saharan African countries,Not specified,2020,No CC,units,-2.89,0.00000000577,NA,NA,NA,NA,12,Impact of agricultural methane emissions
33,Labor productivity,Sub-Saharan African countries,Not specified,2020,No CC,units,-8.16,0.00000000125,NA,NA,NA,NA,12,Impact of CO2 emissions
34,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,No CC,units,-0.000018,0.00000457,NA,NA,NA,NA,12,Impact of agricultural methane emissions
35,GDP per capita income,Sub-Saharan African countries,Not specified,2020,No CC,units,0.0003466,0.0000303,NA,NA,NA,NA,12,Impact on Fertilizer productivity
36,Land productivity,Sub-Saharan African countries,Not specified,2020,No CC,units,0.00000339,0.000000235,NA,NA,NA,NA,12,Impact of GDP per capita income
37,Labor productivity,Sub-Saharan African countries,Not specified,2020,No CC,units,0.000000483,0.0000000382,NA,NA,NA,NA,12,Impact of GDP per capita income
38,TFP growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.1,NA,NA,NA,NA,NA,Highlights,"Due to 1°C increase in temperature, in poorer nations."
39,TFP growth,Sub-Saharan African countries,Not specified,2024,No CC,percentage points,-1.8,NA,NA,NA,NA,NA,Highlights,"Due to 1°C increase in temperature, in poorer nations."
40,Arable land productivity,Sub-Saharan African countries,Not specified,2020,Baseline,unit increase,1,NA,NA,NA,NA,NA,Page 13,Due to one-unit increase in GDP per capita income. Data from 2005-2020.
41,Labour productivity,Sub-Saharan African countries,Not specified,2020,Baseline,unit increase,1,NA,NA,NA,NA,NA,Page 13,Due to one-unit increase in GDP per capita income. Data from 2005-2020.
42,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,Baseline,unit increase,1,NA,NA,NA,NA,NA,Page 13,Due to one-unit increase in GDP per capita income. Data from 2005-2020.
43,Total factor productivity,Sub-Saharan African countries,Not specified,2020,Baseline,unit increase,1,NA,NA,NA,NA,NA,Page 13,"Of land, labour, and fertilizer. Due to one-unit increase in GDP per capita income. Data from 2005-2020."
44,Crop efficiency,Sub-Saharan African countries,Not specified,2020,Land +1 hectare,percent,-0.447,NA,NA,NA,NA,NA,14,Impact of land size elasticity.
45,Crop efficiency,Sub-Saharan African countries,Not specified,2020,Labour +1%,percent,0.515,NA,NA,NA,NA,NA,14,
46,Crop efficiency,Sub-Saharan African countries,Not specified,2020,Fertilizer +1%,percent,0.057,NA,NA,NA,NA,NA,14,
47,Technical efficacy,Sub-Saharan African countries,Not specified,2020,Best practice,percent,-17,NA,NA,NA,NA,NA,14,Average technical efficacy is 83% with a maximum of 99.4% and a minimum of 68.3%. This is a gap relative to a 100% best-practice potential.
