,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP per capita,Italy,RCP 8.5,2100,No CC,%,-2.72,NA,NA,NA,NA,NA,Highlights,Average effect
1,Agricultural GVA per worker,Italy,RCP 8.5,2100,No CC,%,-10.44,NA,NA,NA,NA,NA,Highlights,Average effect
2,GDP per capita growth,Italy,NA,2019,Historical Norm,percentage points per year,-0.019,NA,NA,NA,NA,NA,10,Persistent annual rise of 0.01°C in temperature above historical norm.
3,GDP per capita growth,Italy,NA,2019,Historical Norm,percentage points per year,-0.214,NA,NA,NA,NA,NA,10,Effect of negative temperature deviations; magnitude may be driven by few small negative deviations in historical data.
4,Agri. GVA per worker growth,Italy,NA,2019,Historical Norm,percentage points per year,-0.117,NA,NA,NA,NA,NA,10,Persistent 0.01°C annual increase in temperature above historical norm.
5,Agri. GVA per worker growth,Italy,NA,2019,Historical Norm,percentage points per year,-0.223,NA,NA,NA,NA,NA,10,0.01°C annual decrease in temperature below historical norm; marginally significant.
6,Maximizing GVA Temp,Italy,NA,2019,NA,°C,12.5,NA,1%,10,99%,15,9,Maximizing temperature with non-linear specification in levels of NPS.
7,GDP per capita,Italy,RCP 4.5,2100,No CC,%,0.23,NA,NA,NA,NA,NA,Page 12,The average projected change of per-capita GDP in Italy at the end of the century is weakly positive under RCP 4.5.
8,GDP per capita,Italy,RCP 8.5,2100,No CC,%,-0.33,NA,NA,NA,NA,NA,Page 12,The average projected change of per-capita GDP in Italy at the end of the century is weakly negative under RCP 8.5.
9,Agricultural GVA per worker,Italy,RCP 4.5,2100,No CC,%,-9,NA,5%,-12,95%,-6,Page 12,"Under RCP 4.5, the end of the century real GVA per worker average loss is around 9% with 95% provincial losses in the interval 6–12%."
10,Agricultural GVA per worker,Italy,RCP 8.5,2100,No CC,%,-22,NA,5%,-30,95%,-17,Page 12,"Under the RCP 8.5 scenario, the effect is roughly double, from an average loss of 22% (95% of provincial losses in the interval 17–30%) with bounded temperature."
11,Agricultural GVA per worker,Italy,RCP 8.5,2100,No CC,%,-35,NA,5%,-44,95%,-28,Page 12,The effect without a temperature boundary is a loss of 35% (95% of provincial losses in the interval 28–44%).
12,GDP per capita,Italy,RCP 4.5,2100,No CC,%,-2,NA,NA,NA,NA,NA,13,Effect concentrated in Southern regions.
13,GDP per capita,Italy,RCP 8.5,2100,No CC,%,-4,NA,NA,NA,NA,NA,13,Effect concentrated in Southern regions.
14,Agricultural productivity,Italy,RCP 4.5,2100,No CC,%,-5,NA,NA,NA,NA,NA,13,Losses in the region.
15,Agricultural productivity,Italy,RCP 4.5,2100,No CC,%,-35,NA,NA,NA,NA,NA,13,Losses in the region.
16,Agricultural productivity,Italy,RCP 8.5,2100,No CC,%,-5,NA,NA,NA,NA,NA,13,Losses in the region.
17,Agricultural productivity,Italy,RCP 8.5,2100,No CC,%,-35,NA,NA,NA,NA,NA,13,Losses in the region.
18,GDP per capita,Italy,RCP8.5,2100,No CC,%,-2.72,NA,NA,NA,NA,NA,Highlights,National level GDP loss
