,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Coastal,Coastal Protection,Australia,RCP8.5,Net Present Value,DiscountedSum(),Economic,N/A,Million USD / km,1.7,NA,NA,NA,NA,NA,Page 1,"The Net Present Value of implementing coastal protection strategies ranges from $573,792/km under RCP2.6 to $1.7 million/km under RCP8.5, using a 3% social discount rate."
1,Coastal,Coastal Protection,Australia,RCP2.6,Net Present Value,DiscountedSum() [million USD],Monetary,N/A,USD/km,574000,NA,NA,NA,NA,NA,Sections discussing economic model and adaptation planning,"NPV of coastal protection costs per km of sandy beach under RCP2.6, 3% discount rate. The study is focused on historical data and projection under different RCP scenarios."
2,Coastal,Coastal Protection,Australia,RCP8.5,Net Present Value,DiscountedSum() [million USD],Monetary,N/A,USD/km,1715000,NA,NA,NA,NA,NA,Sections discussing economic model and adaptation planning,"NPV of coastal protection costs per km of sandy beach under RCP8.5, 3% discount rate. The study is focused on historical data and projection under different RCP scenarios."
3,Coastal,Coastal protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,574000,NA,NA,NA,NA,NA,Table 6,NPV with a 3% discount rate
4,Coastal,Coastal protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,937000,NA,NA,NA,NA,NA,Table 6,NPV with a 3% discount rate
5,Coastal,Coastal protection,Australia,RCP6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,928000,NA,NA,NA,NA,NA,Table 6,NPV with a 3% discount rate
6,Coastal,Coastal protection,Australia,RCP8.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,1715000,NA,NA,NA,NA,NA,Table 6,NPV with a 3% discount rate
7,Coastal,Coastal protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,1780800,NA,NA,NA,NA,NA,Table 7,NPV with a 1% discount rate
8,Coastal,Coastal protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,3098000,NA,NA,NA,NA,NA,Table 7,NPV with a 1% discount rate
9,Coastal,Coastal protection,Australia,RCP6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,3099000,NA,NA,NA,NA,NA,Table 7,NPV with a 1% discount rate
10,Coastal,Coastal protection,Australia,RCP8.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,11193000,NA,NA,NA,NA,NA,Table 7,NPV with a 1% discount rate
11,Coastal,Coastal protection,Australia,RCP2.6,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,2457000,NA,NA,NA,NA,NA,Table 6,FV with a 3% discount rate
12,Coastal,Coastal protection,Australia,RCP4.5,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,4874000,NA,NA,NA,NA,NA,Table 6,FV with a 3% discount rate
13,Coastal,Coastal protection,Australia,RCP6,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,4913000,NA,NA,NA,NA,NA,Table 6,FV with a 3% discount rate
14,Coastal,Coastal protection,Australia,RCP8.5,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,26679000,NA,NA,NA,NA,NA,Table 6,FV with a 3% discount rate
15,Coastal,Coastal protection,Australia,RCP2.6,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,2905000,NA,NA,NA,NA,NA,Table 7,FV with a 1% discount rate
16,Coastal,Coastal protection,Australia,RCP4.5,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,5457000,NA,NA,NA,NA,NA,Table 7,FV with a 1% discount rate
17,Coastal,Coastal protection,Australia,RCP6,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,5488000,NA,NA,NA,NA,NA,Table 7,FV with a 1% discount rate
18,Coastal,Coastal protection,Australia,RCP8.5,FV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,28449000,NA,NA,NA,NA,NA,Table 7,FV with a 1% discount rate
19,Coastal,Coastal Protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD,713000,NA,NA,NA,NA,NA,Table 8,"NPV of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
20,Coastal,Coastal Protection,Australia,RCP2.6,NPV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,55000,NA,NA,NA,NA,NA,Table 8,"NPV/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
21,Coastal,Coastal Protection,Australia,RCP2.6,Total Future Value,DiscountedSum(AdaptationCost),Monetary,Need,USD,25027000,NA,NA,NA,NA,NA,Table 8,"Total Future Value of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
22,Coastal,Coastal Protection,Australia,RCP2.6,FV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,1925000,NA,NA,NA,NA,NA,Table 8,"Total Future Value/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
23,Coastal,Coastal Protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD,1215000,NA,NA,NA,NA,NA,Table 8,"NPV of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
24,Coastal,Coastal Protection,Australia,RCP4.5,NPV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,93000,NA,NA,NA,NA,NA,Table 8,"NPV/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
25,Coastal,Coastal Protection,Australia,RCP4.5,Total Future Value,DiscountedSum(AdaptationCost),Monetary,Need,USD,54759000,NA,NA,NA,NA,NA,Table 8,"Total Future Value of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
26,Coastal,Coastal Protection,Australia,RCP4.5,FV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,4212000,NA,NA,NA,NA,NA,Table 8,"Total Future Value/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
27,Coastal,Coastal Protection,Australia,RCP6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD,1158000,NA,NA,NA,NA,NA,Table 8,"NPV of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
28,Coastal,Coastal Protection,Australia,RCP6,NPV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,89000,NA,NA,NA,NA,NA,Table 8,"NPV/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
29,Coastal,Coastal Protection,Australia,RCP6,Total Future Value,DiscountedSum(AdaptationCost),Monetary,Need,USD,55247000,NA,NA,NA,NA,NA,Table 8,"Total Future Value of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
30,Coastal,Coastal Protection,Australia,RCP6,FV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,4250000,NA,NA,NA,NA,NA,Table 8,"Total Future Value/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
31,Coastal,Coastal Protection,Australia,RCP8.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD,502000,NA,NA,NA,NA,NA,Table 8,"NPV of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
32,Coastal,Coastal Protection,Australia,RCP8.5,NPV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,39000,NA,NA,NA,NA,NA,Table 8,"NPV/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
33,Coastal,Coastal Protection,Australia,RCP8.5,Total Future Value,DiscountedSum(AdaptationCost),Monetary,Need,USD,316189000,NA,NA,NA,NA,NA,Table 8,"Total Future Value of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
34,Coastal,Coastal Protection,Australia,RCP8.5,FV/km,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,24322000,NA,NA,NA,NA,NA,Table 8,"Total Future Value/km of coastal protection between 2020 and 2100, r=7.5%, inﬂation = 1.7%"
35,Coastal,Coastal Protection,Australia,RCP2.6,NPV,AdaptationCost,Economic,Need,$/km,574000,NA,NA,NA,NA,NA,page 15,3% discount rate
36,Coastal,Coastal Protection,Australia,RCP8.5,NPV,AdaptationCost,Economic,Need,$/km,1700000,NA,NA,NA,NA,NA,page 15,"3% discount rate; This value is reported as $1.7 million/km, but the text has a typo and lists $1.715 million/km. I have used the value reported."
37,Coastal,Coastal Protection,Australia,RCP2.6,NPV,AdaptationCost,Economic,Need,$/km,3562000,NA,NA,NA,NA,NA,page 15,1% discount rate
38,Coastal,Coastal Protection,Australia,RCP8.5,NPV,AdaptationCost,Economic,Need,$/km,10290000,NA,NA,NA,NA,NA,page 15,1% discount rate; Estimated from 6x the RCP2.6 cost
