,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Vietnam,Drought in 2005,2005,No CC,%,-0.2,NA,NA,NA,NA,NA,7,Estimated economic damage from a single drought.
1,GDP,Vietnam,Rainfall-defined drought,2015,No drought,Percent,-0.2,NA,NA,NA,NA,NA,Highlights,National level estimate of drought costs
2,Illness Incidence,Vietnam,Rainfall-defined drought,2015,Least affected,Percentage points,9.0,NA,NA,NA,NA,NA,p. 18,Extreme of drought distribution
3,Illness Incidence,Vietnam,Rainfall-defined drought,2015,Mean severity,Percentage points,2.0,NA,NA,NA,NA,NA,p. 18,One standard deviation in the severity of drought (0.21)
4,GDP,Vietnam,Local rainfall data,2015,No Drought,%,-0.2,NA,NA,NA,NA,NA,Highlights,Estimated national cost of drought.
5,Illness incidence,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.0964,0.0171,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 1; p<0.01; Average Year"
6,Illness incidence,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.1379,0.0283,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 2; p<0.01; Average Year"
7,Illness incidence,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.0889,0.0372,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 3; p<0.05; Average Year"
8,Illness incidence,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.2101,0.0442,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 4; p<0.01; Average Year"
9,Illness incidence,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.0912,0.0289,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 5; p<0.01; Average Year"
10,Rice price,Vietnam,Local rainfall data,2012,No Drought,Units unknown,0.0907,0.0087,NA,NA,NA,NA,Table 3,"Drought severity, 3-months average, column 6; p<0.01; Average Year"
11,GDP,Vietnam,Drought,2015,No drought,%,-0.2,NA,NA,NA,NA,NA,Highlights,This is a national level estimate.
12,Illness Incidence,Vietnam,Drought,2015,No drought,percentage points,0.1060,0.0178,NA,NA,NA,NA,Table 4,"Coefficient on Drought severity, 3-months average in Column 1.  p<0.01"
13,Illness Incidence,Vietnam,Drought,2015,No drought,percentage points,0.0876,0.0160,NA,NA,NA,NA,Table 4,"Coefficient on Drought severity, 3-months average in Column 2.  p<0.01"
14,Illness Incidence,Vietnam,Drought,2015,No drought,percentage points,0.0923,0.0192,NA,NA,NA,NA,Table 4,"Coefficient on Drought severity, 3-months average in Column 3.  p<0.01"
15,Illness Incidence,Vietnam,Drought,2015,No drought,percentage points,0.0793,0.0155,NA,NA,NA,NA,Table 4,"Coefficient on Drought severity, 3-months average in Column 4.  p<0.01"
16,Illness Incidence,Vietnam,Drought,2015,No drought,percentage points,0.0876,0.0155,NA,NA,NA,NA,Table 4,"Coefficient on Drought severity, 3-months average in Column 5.  p<0.01"
17,Health Expenditures,Vietnam,Local rainfall,2015,No drought,PPP USD,144,NA,NA,NA,NA,NA,25,Increase in health expenditures due to drought-related illness incidence. 10% of total annual per-capita consumption of the median household.
18,Health Expenditures,Vietnam,Local rainfall,2015,No drought,PPP USD,90,NA,NA,NA,NA,NA,25,Effect on health expenditures for the lower part of the wealth distribution due to drought-related illness.
19,GDP,Vietnam,Local rainfall data,2015,No drought,%,-0.2,NA,NA,NA,NA,NA,Highlights,National level effect of drought
20,Health expenditure,Vietnam,Local rainfall data,2015,No drought,% of consumption,10,NA,NA,NA,NA,NA,Page 26,Impact on lower wealth group
21,Health expenditure,Vietnam,Local rainfall data,2015,No drought,% of food spend,18,NA,NA,NA,NA,NA,Page 26,Impact on lower wealth group
22,Health expenditure,Vietnam,Local rainfall data,2015,No drought,% of consumption,16,NA,NA,NA,NA,NA,Page 26,Impact on upper wealth group
23,Health expenditure,Vietnam,Local rainfall data,2015,No drought,% of food spend,34,NA,NA,NA,NA,NA,Page 26,Impact on upper wealth group
24,GDP,Vietnam,Local Rainfall Data,2015,No drought,%,-0.2,NA,NA,NA,NA,NA,Highlights,National level cost of drought
