,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,China,ACI shock,2020,Baseline,%,-0.5,NA,NA,NA,NA,NA,Page 4,Impact in the third quarter following a one standard deviation shock to the ACI index.
1,GDP Variation,China,ACI shock,2020,Baseline,%,14.2,NA,NA,NA,NA,NA,Page 4,Variance decomposition indicates that ACI shocks account for this percentage of the variation in GDP in the long term.
2,GDP,China,ACI shock,2020,Central bank reaction,%,-0.49,NA,NA,NA,NA,NA,Page 4,"Counterfactual analysis indicates the size of the drop in GDP following a one-standard-deviation weather shock will worsen to this value in the long term, if the central bank does not react to weather shocks. Compared to a -0.42% drop with central bank intervention."
3,Loans to Firms,China,Extreme weather events,2020,Baseline,NA,-1,NA,NA,NA,NA,NA,Page 4,"Extreme weather events reduce loans obtained by listed firms, amount not specified."
4,Value-Added of Firms,China,Weather Shocks,2020,Baseline,NA,-1,NA,NA,NA,NA,NA,Page 4,"Value-added of firms drop after weather shocks, amount not specified."
5,GDP,China,Weather Shock,2024,No CC,%,-0.2,NA,NA,NA,NA,NA,Page 10,Drop in first quarter after a one-standard-deviation weather shock
6,GDP,China,Weather Shock,2024,No CC,%,-0.5,NA,NA,NA,NA,NA,Page 10,Maximum drop in the third quarter after a one-standard-deviation weather shock
7,GDP,China,Weather shock,2020,No CC,%,-0.4,NA,NA,NA,NA,NA,Page 11,Magnitude of drop in GDP following weather shock.
8,CPI Inflation,China,Weather shock,2020,No CC,%,-0.1,NA,NA,NA,NA,NA,Page 11,CPI becomes negatively significant in 12th Quarter.
9,Interest Rate,China,Weather shock,2020,No CC,%,-0.1,NA,NA,NA,NA,NA,Page 11,Lowest point in interest rate drop after two quarters.
10,GDP,China,Historical,2020,No weather shocks,%,-1,NA,NA,NA,NA,NA,Page 12,Weather shocks explained a 1% drop in GDP in 2020.
11,GDP,China,Historical,2020,No COVID-19 pandemic,%,-6,NA,NA,NA,NA,NA,Page 12,Shocks to GDP during the COVID-19 pandemic accounted for a 6% drop in GDP.
12,GDP,China,Historical,2024,No weather shocks,%,-2.8,NA,NA,NA,NA,NA,Page 12,Weather risks accounts for only 2.8% of the variance in GDP Q1. Assuming this result is still valid in the current year.
13,GDP,China,Historical,2024,No weather shocks,%,-18.3,NA,NA,NA,NA,NA,Page 12,"In the Q16, weather risk accounts for a maximum of 18.3% of the variance in GDP. Assuming this result is still valid in the current year."
14,GDP,China,Historical,2024,No weather shocks,%,-14.2,NA,NA,NA,NA,NA,Page 12,"Over time, weather risks settles to the long-term level of 14.2% in the 200th quarter. Assuming this result is still valid in the current year."
15,CPI,China,Historical,2024,No weather shocks,%,0,NA,NA,NA,NA,NA,Page 12,Weather shocks negligibly affect the variation of CPI in Q1. Assuming this result is still valid in the current year.
16,CPI,China,Historical,2024,No weather shocks,%,-11.5,NA,NA,NA,NA,NA,Page 12,They account for 11.5% of the long-term CPI variation. Assuming this result is still valid in the current year.
17,Interest Rates,China,Historical,2024,No weather shocks,%,-4.7,NA,NA,NA,NA,NA,Page 12,weather risks can explain 4.7% of their variation in the long term. Assuming this result is still valid in the current year.
18,Credit to Non-Financial Firms,China,Historical,2024,No weather shocks,%,-13.8,NA,NA,NA,NA,NA,Page 12,weather risks can explain 13.8% of their variation in the long term. Assuming this result is still valid in the current year.
19,GDP,China,Counterfactual,2020,Historical,%,-0.07,NA,NA,NA,NA,NA,Page 13,Drop in GDP is significantly larger after the 4th quarter if the central bank does not react to weather shocks.
20,GDP,China,Counterfactual,2020,Historical,%,-0.49,NA,NA,NA,NA,NA,Page 13,Drop in GDP after the 20th quarter following a one-standard-deviation weather shock is -0.49% under the counterfactual.
21,GDP,China,Historical,2020,Historical,%,-0.42,NA,NA,NA,NA,NA,Page 13,Drop in GDP after the 20th quarter following a one-standard-deviation weather shock is -0.42% estimated from the actual data.
22,Credit,China,Historical,2020,No CC,percentage point,-0.232,NA,NA,NA,NA,NA,Page 15,One-unit increase in ACI causes a 0.232 percentage point drop in the bank loans to assets ratio.
23,Credit,China,Historical,2020,No CC,percentage point,-0.374,NA,NA,NA,NA,NA,Page 15,"Bank loan to assets ratio drops by 0.374 percentage point if an ACI jump event occurs in a quarter, where an ACI jump event is when the HP filtered ACI index exceeds the mean value by more than 1.65 times the standard deviation."
24,Credit,China,Historical,2020,No CC,percentage point,-0.568,NA,NA,NA,NA,NA,Page 15,"Bank loan to assets ratio drops by 0.568 percentage point if an ACI jump event occurs in a quarter, where an ACI jump event is when the original ACI time series exceeds the mean value by more than 1.65 times the standard deviation."
25,Credit,China,Historical excl. Crisis,2020,No CC,percentage point,-0.140,NA,NA,NA,NA,NA,Page 15,Estimated coefficient on ACI when excluding 2008-2009 (Global Financial Crisis) observations.
26,Credit,China,Historical excl. COVID,2020,No CC,percentage point,-0.214,NA,NA,NA,NA,NA,Page 15,Estimated coefficient on ACI when excluding 2020 (COVID-19) observations.
27,Interest Expenses,China,Historical,2020,No CC,Percentage Change,0,NA,NA,NA,NA,NA,"Table 11, Column 3",Extreme weather increases firms' interest rate expenses.
28,Long-term Debt,China,Historical,2020,No CC,Change,0,NA,NA,NA,NA,NA,"Table 11, Column 1",Extreme weather reduces long-term loans.
29,Short-term Debt,China,Historical,2020,No CC,Change,0,NA,NA,NA,NA,NA,"Table 11, Column 2",Extreme weather reduces short-term loans.
30,Value Added,China,Historical,2020,No CC,%,-0.232,NA,NA,NA,NA,NA,"Page 23, column (8) where strong wind indicator (P10) carries a negative sign.",Impact of ACI_d on ln(value added) after two-quarter lag.
31,Value Added,China,Historical,2020,No CC,%,-0.240,NA,NA,NA,NA,NA,"Page 23, column (8) where strong wind indicator (P10) carries a negative sign.",Impact of ACI_d on ln(value added) after two-quarter lag.
32,Firm Value-Added,China,Historical,2020,No CC,%,-0.8,NA,NA,NA,NA,NA,Page 24,One-unit change in the ACI index reduces a firm’s value-added by 0.8%.
33,GDP,China,Historical,2020,No CC,%,-0.5,NA,NA,NA,NA,NA,Page 26,"The value is reported for a one standard deviation shock to the ACI index, affecting GDP in the third quarter."
34,GDP,China,Weather Shock,2020,No CC,percent,-0.6,NA,2.5%,-0.8,97.5%,-0.2,Figure 5,Impact after multiple quarters
