,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,SPEI-3,Global,1.5°C warming,2005,1976,%,85,NA,NA,NA,NA,NA,456,Decrease in mean SPEI-3
1,Drought Duration,Global,1.5°C warming,2005,1976,%,78,NA,NA,NA,NA,NA,457,Land surface area where drought duration is projected to prolong.
2,Drought Duration,Global,1.5°C warming,2005,1976,%,44,NA,NA,NA,NA,NA,457,Land areas with an increase of drought duration higher than 10%
3,Drought Severity,Global,1.5°C warming,2005,1976,%,46,NA,NA,NA,NA,NA,457,Global landmasses experiencing increases exceeding 50%
4,Drought Severity,Global,1.5°C warming,2050,Historical period,%,75,NA,NA,NA,NA,NA,NA,457
5,Drought Duration,Global,1.5°C warming,2050,Historical period,%,58,NA,NA,NA,NA,NA,NA,457
6,Drought Severity,Global,2.0°C warming,2050,1.5°C warming,%,35,NA,NA,NA,NA,NA,NA,457
7,Drought Duration,Global,2.0°C warming,2050,1.5°C warming,%,8,NA,NA,NA,NA,NA,NA,457
8,Drought Frequency,Global,RCPs,2050,Historical period,months,0,NA,10%,1.8,90%,7.8,457,Projected to lengthen under three RCPs.
9,Drought Duration,Global,2.0°C warming,2050,Historical period,months,0,NA,10%,1.8,90%,7.8,457,Uncertainty range under 2.0°C warming climate.
10,Drought Severity,Global,2.0°C warming,2050,Historical period,NA,0,NA,10%,2.0,90%,12,457,Uncertainty range under 2.0°C warming climate.
11,Drought Frequency,Global,1.5°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Frequency doubles over 58% of global land surface under 1.5°C warming compared to historical events.
12,Landmass Exposure,Global,2.0°C warming,2020,1.5°C warming,%,9,NA,NA,NA,NA,NA,458,Additional landmass that experiences doubling of historical 50-year droughts under 2.0°C compared to 1.5°C warming.
13,Drought Frequency,Global,2.0°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Frequency doubles over 67% of global land surface under 2.0°C warming compared to historical events.
14,Area Exposure,Global,2.0°C warming,2020,1.5°C warming,%,71,NA,NA,NA,NA,NA,458,"71% of continental areas will have present drought events occur *more* frequently under 2°C vs 1.5°C warming. This seems contradictory to the previous result, as the relative baseline is different."
15,Drought Frequency,Europe,2.0°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought frequency projected to strongly increase in Europe under 2.0°C warming.
16,Drought Frequency,Southern United States,2.0°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought frequency projected to strongly increase in the southern United States under 2.0°C warming.
17,Drought Frequency,Asia,2.0°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought frequency projected to strongly increase in large parts of Asia under 2.0°C warming.
18,Drought Frequency,Northern Canada,2.0°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Extreme Droughts are projected to be less frequent in Northern Canada under 2.0°C warming.
19,Drought Frequency,East Asia,2.0°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Extreme Droughts are projected to be less frequent in East Asia under 2.0°C warming.
20,Drought Frequency,South America,1.5°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Historical 50-year droughts are projected to occur 2 to 10 times more frequently in most areas of South America (except for the zone around the Equator) under 1.5°C warming.
21,Drought Frequency,Northeastern America,1.5°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Historical 50-year droughts are projected to occur 2 to 10 times more frequently in northeastern America under 1.5°C warming.
22,Drought Frequency,Central and Western Asia,1.5°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Historical 50-year droughts are projected to occur 2 to 10 times more frequently in central and western Asia under 1.5°C warming.
23,Drought Frequency,Northwest China,1.5°C warming,2020,No CC,Multiple,2,NA,NA,NA,NA,NA,458,Historical 50-year droughts are projected to occur 2 to 10 times more frequently in Northwest China under 1.5°C warming.
24,Landmass Exposure,Global,1.5°C warming,2020,No CC,%,88,NA,NA,NA,NA,NA,458,More than 88% of global landmasses will be subject to more frequent historical 50-year droughts under the 1.5°C warming level.
25,Landmass Exposure,Global,1.5°C warming,2020,No CC,%,58,NA,NA,NA,NA,NA,458,The frequency of severe droughts would double over 58% of the global land surface under 1.5°C warming.
26,Drought Frequency,Siberia,1.5°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought risks will reduce in Siberia under the ambitious 1.5°C warming level.
27,Drought Frequency,Indian peninsula,1.5°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought risks will reduce in the Indian peninsula under the ambitious 1.5°C warming level.
28,Drought Frequency,Alaska,1.5°C warming,2020,No CC,NA,0,NA,NA,NA,NA,NA,458,Drought risks will reduce in Alaska under the ambitious 1.5°C warming level.
29,Population Exposure,Global,1.5°C warming,2020,Historical 50-year events,%,100,NA,NA,NA,NA,NA,459,Fraction of population exposed in >67 countries
30,GDP Exposure,Global,1.5°C warming,2020,Historical 50-year events,%,100,NA,NA,NA,NA,NA,459,Fraction of GDP exposed in >67 countries
31,Population Exposure,Global,1.5°C warming,2020,Historical 50-year events,%,50,NA,NA,NA,NA,NA,459,Fraction of population exposed in >140 countries
32,GDP Exposure,Global,1.5°C warming,2020,Historical 50-year events,%,50,NA,NA,NA,NA,NA,459,Fraction of GDP exposed in >140 countries
33,Land Fraction,Mexico,1.5°C,2020,Historical Drought,%,85,NA,NA,65,NA,97,Page 461,Percentage of grid cells affected; approx. year as paper is 2020.
34,Land Fraction,Brazil,1.5°C,2020,Historical Drought,%,85,NA,NA,65,NA,97,Page 461,Percentage of grid cells affected; approx. year as paper is 2020.
35,Return Period,Mexico,1.5°C,2020,Historical Drought,Years,20,NA,NA,NA,NA,NA,Page 461,Historical 50 year drought is projected to occur every 20 years; approx. year as paper is 2020.
36,Return Period,Brazil,1.5°C,2020,Historical Drought,Years,20,NA,NA,NA,NA,NA,Page 461,Historical 50 year drought is projected to occur every 20 years; approx. year as paper is 2020.
