,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic Damage,Mississippi River Basin,Observed,1993,Pre-flood conditions,USD (billions),-15,NA,NA,NA,NA,NA,2573,Estimated economic damage from the 1993 Mississippi River flood
1,Properties Inundated,Japan,Climate Change,2004,No CC,properties,26000,NA,NA,NA,NA,NA,2574,Niigata–Fukushima flood.
2,Fatalities,Japan,Typhoons,2004,No CC,people,180,NA,NA,NA,NA,NA,2574,Four strong typhoons in September-October.
3,Properties Destroyed,Japan,Typhoons,2004,No CC,properties,23000,NA,NA,NA,NA,NA,2574,Four strong typhoons in September-October.
4,Fatalities,Japan,Pluvial Flooding,2000,No CC,people,18,NA,NA,NA,NA,NA,2574,"City of Nagoya, Tokai region"
5,Injured,Japan,Pluvial Flooding,2000,No CC,people,115,NA,NA,NA,NA,NA,2574,"City of Nagoya, Tokai region"
6,Economic Losses,Japan,Pluvial Flooding,2000,No CC,USD,9.57e+09,NA,NA,NA,NA,NA,2574,"City of Nagoya, Tokai region. Original value given as JYP 978 billion."
7,Precipitation Ratio,Japan,GCM 20,2080,No CC,Ratio,1.07,NA,NA,NA,NA,NA,Page 10,Lower prediction scenario
8,Precipitation Ratio,Japan,GCM 20,2080,No CC,Ratio,1.20,NA,NA,NA,NA,NA,Page 10,Middle prediction scenario
9,Precipitation Ratio,Japan,GCM 20,2080,No CC,Ratio,1.35,NA,NA,NA,NA,NA,Page 10,Upper prediction scenario
10,Discharge Ratio,Japan,GCM 20,2080,No CC,Ratio,1.10,NA,NA,NA,NA,NA,Page 10,Lower prediction scenario
11,Discharge Ratio,Japan,GCM 20,2080,No CC,Ratio,1.27,NA,NA,NA,NA,NA,Page 10,Middle prediction scenario
12,Discharge Ratio,Japan,GCM 20,2080,No CC,Ratio,1.48,NA,NA,NA,NA,NA,Page 10,Upper prediction scenario
13,Freeboard Factor,Japan,GCM 20,2080,No CC,Ratio,1.10,NA,NA,NA,NA,NA,Page 10,Lower prediction scenario
14,Freeboard Factor,Japan,GCM 20,2080,No CC,Ratio,1.15,NA,NA,NA,NA,NA,Page 10,Middle prediction scenario
15,Freeboard Factor,Japan,GCM 20,2080,No CC,Ratio,1.20,NA,NA,NA,NA,NA,Page 10,Upper prediction scenario
16,Flood-prone areas,Singapore,Unspecified,1990,1960,ha,-6693,NA,NA,NA,NA,NA,2579,Reduction of flood-prone areas from 6900ha in the 1960s to 207ha in the 1990s due to drainage investments.
