,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Carbon Revenue,Ghana,Carbon pricing $5/tCO2eq,2020,Observed NEE,$/acre/year,2.4,NA,NA,NA,NA,NA,1,Based on 0.48 tCO2eq/acre/yr NEE sequestration rates. Assume 2020 as the year.
1,Carbon Revenue,Ghana,Carbon pricing $36/tCO2eq,2020,Observed NEE,$/acre/year,17.28,NA,NA,NA,NA,NA,1,Based on 0.48 tCO2eq/acre/yr NEE sequestration rates. Assume 2020 as the year.
2,Carbon Revenue,"MA, USA",Carbon pricing $5/tCO2eq,2020,Observed NEE,$/acre/year,78,NA,NA,NA,NA,NA,1,Based on 15.60 tCO2eq/acre/yr NEE sequestration rates. Assume 2020 as the year.
3,Carbon Revenue,"MA, USA",Carbon pricing $36/tCO2eq,2020,Observed NEE,$/acre/year,561.6,NA,NA,NA,NA,NA,1,Based on 15.60 tCO2eq/acre/yr NEE sequestration rates. Assume 2020 as the year.
4,NEE,Harvard Forest,Observed,2010,Baseline,tCO2eq,-0.53,NA,NA,NA,NA,NA,11,Minimum annual NEE observed at Harvard Forest. Note the negative sign already implies a reduction.  Value is net sequestered CO2.
5,NEE,Harvard Forest,Observed,2008,Baseline,tCO2eq,-9.09,NA,NA,NA,NA,NA,11,Maximum annual NEE observed at Harvard Forest. Note the negative sign already implies a reduction.  Value is net sequestered CO2.
6,NEE,Harvard Forest,Observed,2000,Baseline,tCO2 acre-1 yr-1,-4.5,2.3,NA,NA,NA,NA,11,Mean and standard deviation of annual NEE for Harvard Forest over 24 years. Note the negative sign already implies a reduction. Value is net sequestered CO2. Using 2000 as a rough midpoint of the 24-year period.
7,NEE,Ankasa Park,Observed,2013,Baseline,tCO2eq,-6.74,NA,NA,NA,NA,NA,11,Minimum annual NEE observed at Ankasa Park. Note the negative sign already implies a reduction.  Value is net sequestered CO2.
8,NEE,Ankasa Park,Observed,2011,Baseline,tCO2eq,-15.2,NA,NA,NA,NA,NA,11,Maximum annual NEE observed at Ankasa Park. Note the negative sign already implies a reduction. Value is net sequestered CO2.
9,NEE,Ankasa Park,Observed,2012,Baseline,tCO2 acre-1 yr-1,-10.2,3.6,NA,NA,NA,NA,11,Mean and standard deviation of annual NEE for Ankasa Park over 4 years. Note the negative sign already implies a reduction. Value is net sequestered CO2. Using 2012 as a rough midpoint of the 4-year period.
