,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Insurance,Any,France,RCP 4.5,Economic Costs,BaselineImpact,Monetary,Need,million EUR / yr,855,NA,NA,NA,NA,NA,Highlights,Total annual damages from flood and storm surge are projected to rise from €855M to €1325M (+55%) by 2050
1,Insurance,Any,France,RCP 4.5,Economic Costs,BaselineImpact,Monetary,Need,million EUR / yr,1325,NA,NA,NA,NA,NA,Highlights,Total annual damages from flood and storm surge are projected to rise from €855M to €1325M (+55%) by 2050
2,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,638,NA,NA,NA,NA,NA,"Page 7, Flooding Box Plot",Median losses from flooding in Actual Scenario
3,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,39,NA,NA,NA,NA,NA,"Page 7, Storm Surge Box Plot",Median losses from storm surge in Actual Scenario
4,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,625,NA,NA,NA,NA,NA,"Page 7, Multi-Hazard Box Plot",Median losses from multi-hazard in Actual Scenario
5,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,777,NA,NA,NA,NA,NA,"Page 7, Flooding Box Plot",Median losses from flooding in 2050 Scenario
6,Insurance,Any,France,RCP 4.5,Insured Losses,AvoidedImpact,Monetary,Need,million euros,-1138,NA,NA,NA,NA,NA,"Page 7, Flooding Box Plot",Median losses from flooding in 2050.Vul Scenario. Negative value indicates the impact of the hazard would be higher in the 'Vul' scenario.
7,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,47,NA,NA,NA,NA,NA,"Page 7, Storm Surge Box Plot",Median losses from storm surge in 2050 Scenario
8,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,97,NA,NA,NA,NA,NA,"Page 7, Storm Surge Box Plot",Median losses from storm surge in 2050.SLR Scenario
9,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,157,NA,NA,NA,NA,NA,"Page 7, Storm Surge Box Plot",Median losses from storm surge in SLR Scenario
10,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,857,NA,NA,NA,NA,NA,"Page 7, Multi-Hazard Box Plot",Median losses from multi-hazard in 2050 Scenario
11,Insurance,Any,France,RCP 4.5,Insured Losses,AvoidedImpact,Monetary,Need,million euros,-2565,NA,NA,NA,NA,NA,"Page 7, Multi-Hazard Box Plot",Median losses from multi-hazard in 2050.Vul Scenario. Negative value indicates the impact of the hazard would be higher in the 'Vul' scenario.
12,Insurance,Any,France,RCP 4.5,Insured Losses,BaselineImpact,Monetary,Need,million euros,2997,NA,NA,NA,NA,NA,"Page 7, Multi-Hazard Box Plot",Median losses from multi-hazard in SLR Scenario
13,Insurance,Adaptation,France,RCP 4.5,Avoided Losses,AvoidedImpact,Economic,Need,million EUR / yr,470,NA,NA,NA,NA,NA,Conclusions,"Increase from 855 to 1325, so 470M EUR increase in damages due to climate change + socioeconomics by 2050.  The adaptation is only implied; this is the need."
14,Insurance,Adaptation,France,RCP 4.5,Avoided Losses,AvoidedImpact,Economic,Need,%,55,NA,NA,NA,NA,NA,Conclusions,"Increase from 855 to 1325, so a 55% increase in damages due to climate change + socioeconomics by 2050. The adaptation is only implied; this is the need."
15,Insurance,Adaptation,France,RCP 4.5,Avoided Losses,AvoidedImpact,Economic,Need,%,20,NA,NA,NA,NA,NA,Conclusions,"Of the 55% increase, 20% is due to precipitation/sea level changes from climate change. The adaptation is only implied; this is the need."
