,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Real Estate,Natural Habitat Preservation,USA,Current,Avoided Damage,MonetaryBenefits,Economic,Need,USD/sq km,43500,NA,NA,34000,NA,53000,Highlights,Residential damage reduction
1,Real Estate,Natural Habitat Preservation,USA,2050 SLR,Avoided Damage,MonetaryBenefits,Economic,Need,USD/sq km,72500,NA,NA,7000,NA,138000,Highlights,Residential damage reduction
2,Real Estate,Natural Habitat Preservation,USA,2050 SLR,Marsh Reduction,AvoidedImpact,Economic,Need,%,5.4,NA,NA,NA,NA,NA,Results,Total marsh area reduction
3,Real Estate,Natural Habitat Preservation,USA,2050 SLR,Salt Marsh Loss,AvoidedImpact,Economic,Need,%,38,NA,NA,NA,NA,NA,Results,Transitional salt marsh loss
4,Real Estate,Natural Habitat Preservation,USA,2050 SLR,Flooded Marsh Loss,AvoidedImpact,Economic,Need,%,36,NA,NA,NA,NA,NA,Results,Irregularly flooded marsh loss
5,Real Estate,Natural Habitat Preservation,USA,Current,AvoidedImpact,[USD],Monetary,Need,Million USD,9.83,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from a 25-year storm under current conditions due to natural habitats.
6,Real Estate,Natural Habitat Preservation,USA,Current,AvoidedImpact,[USD],Monetary,Need,Million USD,13.08,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from a 50-year storm under current conditions due to natural habitats.
7,Real Estate,Natural Habitat Preservation,USA,Current,AvoidedImpact,[USD],Monetary,Need,Million USD,8.34,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from Hurricane Sandy under current conditions due to natural habitats.
8,Real Estate,Natural Habitat Preservation,USA,2050 SLR,AvoidedImpact,[USD],Monetary,Need,Million USD,1.54,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from a 25-year storm under 2050 SLR scenario due to natural habitats.
9,Real Estate,Natural Habitat Preservation,USA,2050 SLR,AvoidedImpact,[USD],Monetary,Need,Million USD,19.93,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from a 50-year storm under 2050 SLR scenario due to natural habitats.
10,Real Estate,Natural Habitat Preservation,USA,2050 SLR,AvoidedImpact,[USD],Monetary,Need,Million USD,32.09,NA,NA,NA,NA,NA,"Page 10, Table 4",Avoided damages from Hurricane Sandy under 2050 SLR scenario due to natural habitats.
