,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Nearshore TC Intensification,Global,Historical,2020,1979,kt per 24-hr,3,NA,NA,NA,NA,NA,Page 1,The observed global mean nearshore tropical cyclone intensification rate increased by about 3 kt per 24-hr over the period 1979–2020.
1,TC Intensification Rate,Nearshore (Global),Observed,2000,1979,kt 6 hr⁻¹,0.05,NA,NA,NA,NA,NA,4,Based on difference of means from two periods (1979-1999 vs. 2000-2020). p-value = 0.04 (statistically significant). Error bars were estimated using the Monte Carlo method.
2,Vertical Wind Shear,Global Nearshore,Observed,2020,1979,ms-1 year-1,-0.026,NA,NA,NA,NA,NA,6,"Average rate of change, calculated as linear trend over 1979-2020"
3,Vertical Wind Shear,Global Offshore,Observed,2020,1979,ms-1 year-1,-0.011,NA,NA,NA,NA,NA,6,"Average rate of change, calculated as linear trend over 1979-2020"
4,Relative Humidity,Global Nearshore,Observed,2020,1979,% year-1,0.057,NA,NA,NA,NA,NA,6,"Average rate of change, calculated as linear trend over 1979-2020"
5,Relative Humidity,Global Offshore,Observed,2020,1979,% year-1,0.000,NA,NA,NA,NA,NA,6,"Average rate of change, calculated as linear trend over 1979-2020. Value is positive, but the result is reported as not statistically significant."
6,SST,Global Coastal,Historical,2020,1979,°C/year,0.014,NA,NA,NA,NA,NA,7,Trend from 1979 to 2020
7,SST,Global Offshore,Historical,2020,1979,°C/year,0.014,NA,NA,NA,NA,NA,7,Trend from 1979 to 2020
8,Wind Speed,Global Offshore,Historical,2020,1979,m/s/year,0.026,NA,NA,NA,NA,NA,7,Trend from 1979 to 2020
9,Wind Speed,Global Coastal,Historical,2020,1979,m/s/year,-0.003,NA,NA,NA,NA,NA,7,Trend from 1979 to 2020
10,Relative Humidity,Global Coastal,Historical,2020,1979,%/year,0.057,NA,NA,NA,NA,NA,7,Trend from 1979 to 2020
11,Relative Humidity,Global Offshore,Historical,2020,1979,%/year,0.011,NA,NA,NA,NA,NA,7,Not statistically significant
12,TC Intensification Rate,Nearshore Regions,SSP585,2014,1979,kt/6-hr,-0.07,NA,NA,NA,NA,NA,8,Historical period (1979-2014)
13,TC Intensification Rate,Nearshore Regions,SSP585,2050,2015,kt/6-hr,0.03,NA,NA,NA,NA,NA,8,"Future period (2015-2050), HighResMIP"
14,TC Intensification Rate,Nearshore Regions,SSP585,2050,1979-2014,kt/6-hr,0.1,NA,NA,NA,NA,NA,Panel (b),Difference in intensification rates between 1979-2014 and 2015-2050 from panel (b).
15,TC Intensification Rate,US East and Gulf coasts,SSP585,2050,1979,kt/6-hr,0.27,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate; statistically significant at the 95% level.
16,TC Intensification Rate,Mexican West coast,SSP585,2050,1979,kt/6-hr,0.11,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate
17,TC Intensification Rate,East Asian coast,SSP585,2050,1979,kt/6-hr,0.21,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate; statistically significant at the 95% level.
18,TC Intensification Rate,South Asian coast,SSP585,2050,1979,kt/6-hr,0.14,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate; statistically significant at the 95% level.
19,TC Intensification Rate,Southeast African coast,SSP585,2050,1979,kt/6-hr,0.10,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate
20,TC Intensification Rate,Australian coast,SSP585,2050,1979,kt/6-hr,0.02,NA,NA,NA,NA,NA,Page 9,Projected change in mean nearshore intensification rate
21,TC Intensification Rate,US East and Gulf coasts,SSP585,2050,1979,kt/6-hr,0.00,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
22,TC Intensification Rate,Mexican West coast,SSP585,2050,1979,kt/6-hr,0.03,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
23,TC Intensification Rate,East Asian coast,SSP585,2050,1979,kt/6-hr,0.02,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
24,TC Intensification Rate,South Asian coast,SSP585,2050,1979,kt/6-hr,-0.08,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
25,TC Intensification Rate,Southeast African coast,SSP585,2050,1979,kt/6-hr,-0.02,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
26,TC Intensification Rate,Australian coast,SSP585,2050,1979,kt/6-hr,-0.00,NA,NA,NA,NA,NA,Page 9,Projected change in mean offshore intensification rate
27,Vertical Wind Shear,N Trop-Extrp Oceans,SSP585,2081,2015,correlation coefficient,0.63,NA,NA,NA,NA,NA,10,Pattern correlation coefficient of VWS changes between CMIP6 ensemble mean and SWM's solution.
