,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GSP growth,United States,A2,2019,No CC,percentage points,-0.20,NA,NA,NA,NA,NA,"Page 1, Abstract",A 1°F increase in average summer temperature results in a reduction of 0.15 to 0.25 percentage points in annual state-level output growth. Using the midpoint of the range.
1,State-level output growth,United States,NA,2012,No CC,percentage points,-0.20,NA,NA,NA,NA,NA,Page 2,Impact of 1°F increase in average summer temperature. Value is the midpoint of the range provided.
2,Industry GDP Growth,United States,NA,1997,No CC,percentage points,-0.256,0.060,90%,NA,95%,NA,Figure 1,Effect of Summer Temperature on GDP times Industry Share. Includes multiple industries considered as a sum. Year represents start of post-1997 sample.
3,Labor productivity growth,United States,NA,1997,No CC,percentage points,0,NA,NA,NA,NA,NA,Page 3,Increase in average summer temperature decreases the annual growth rate of labor productivity. No specific value provided. Year represents start of post-1997 sample.
4,GDP growth rate,United States,Business as usual,2100,No mitigation,percentage points,-1.2,NA,NA,NA,NA,NA,Page 4,"Projected increases in summer and fall temperatures could reduce the growth rate of annual nominal GDP by up to 1.2 percentage points. Assuming this is a long-term projection, assigning it to 2100."
5,GSP growth,United States,NA,2012,No CC,percentage points,-0.15,NA,NA,NA,NA,NA,Section 2,Impact of 1°F increase in summer temperature.
6,GSP growth,United States,NA,2012,No CC,percentage points,-0.25,NA,NA,NA,NA,NA,Section 2,Impact of 1°F increase in summer temperature.
7,GDP volatility,United States,NA,2012,No CC,Unitless,0,NA,NA,NA,NA,NA,Section 2,Temperature fluctuations affect the volatility of GDP growth. Value set to 0 because impact is directional only.
8,Whole Year GSP Growth,United States,Historical,2000,No CC,Percentage points,-0.396,0.382,NA,NA,NA,NA,"Page 8, Table 1","Main results from time series analysis at national level, not statistically significant."
9,Winter GSP Growth,United States,Historical,2000,No CC,Percentage points,-0.071,0.179,NA,NA,NA,NA,"Page 8, Table 1","Main results from time series analysis at national level, not statistically significant."
10,Spring GSP Growth,United States,Historical,2000,No CC,Percentage points,-0.027,0.334,NA,NA,NA,NA,"Page 8, Table 1","Main results from time series analysis at national level, not statistically significant."
11,Summer GSP Growth,United States,Historical,2000,No CC,Percentage points,-0.414,0.385,NA,NA,NA,NA,"Page 8, Table 1","Main results from time series analysis at national level, not statistically significant."
12,Fall GSP Growth,United States,Historical,2000,No CC,Percentage points,0.042,0.287,NA,NA,NA,NA,"Page 8, Table 1","Main results from time series analysis at national level, not statistically significant."
