,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Sea-level rise,Antarctica,SSP1-2.6,2100,No CC,cm,6,NA,NA,-8,NA,15,Page 1,Antarctic contribution to global mean sea-level rise
1,Sea-level rise,Antarctica,SSP5-8.5,2100,No CC,cm,5.5,NA,NA,-10,NA,16,Page 1,Antarctic contribution to global mean sea-level rise
2,Sea-level rise,Antarctica,SSP5-8.5,2300,No CC,m,2.75,NA,NA,NA,NA,6.95,Page 1,Median global mean sea-level rise
3,Sea-level rise,Antarctica,SSP5-8.5,3000,No CC,m,6.95,NA,NA,NA,NA,NA,Page 1,Median global mean sea-level rise
4,Sea-level rise,Antarctica,SSP1-2.6,2300,No CC,m,0.62,NA,NA,NA,NA,1.85,Page 1,Median global mean sea-level rise
5,Sea-level rise,Antarctica,SSP1-2.6,3000,No CC,m,1.85,NA,NA,NA,NA,NA,Page 1,Median global mean sea-level rise
6,Sea-level rise,Antarctica,SSP1-2.6,2100,No CC,cm,6,NA,5%,-8,95%,15,p. 10,Median
7,Sea-level rise,Antarctica,SSP5-8.5,2100,No CC,cm,5.5,NA,5%,-10,95%,16,p. 10,Median
8,Sea-level rise,Antarctica,SSP5-8.5,2300,No CC,m,2.75,NA,5%,-0.46,95%,4.52,p. 10,Median
9,Sea-level rise,Antarctica,SSP1-2.6,2300,No CC,m,0.62,NA,5%,-0.26,95%,1.56,p. 10,Median
10,Sea-level rise,Antarctica,SSP5-8.5,3000,No CC,m,6.95,NA,5%,2.40,95%,13.47,p. 10,Median
11,Sea-level rise,Antarctica,SSP1-2.6,3000,No CC,m,1.85,NA,5%,-0.73,95%,2.90,p. 10,Median
12,Sea-level rise,Antarctica,Constant present-day climate,2100,No CC,cm,2,NA,5%,-6,95%,9,p. 10,"Thwaites Glacier retreat alone, median"
13,Sea-level rise,Antarctica,Constant present-day climate,2300,No CC,m,0.20,NA,5%,-0.17,95%,1.21,p. 10,"Thwaites Glacier retreat alone, median"
14,Sea-level rise,Antarctica,Constant present-day climate,3000,No CC,m,1.32,NA,5%,-0.4,95%,2.1,p. 10,"Thwaites Glacier retreat alone, median"
15,Sub-shelf Melt Flux,Antarctica,SSP5-8.5,2150,No CC,Gigatons per year,0,NA,NA,NA,NA,NA,Page 13,"Sub-shelf melt fluxes reach their maximum in 2150. No exact value is provided, but it is implied to be large as ice shelves progressively collapse. Assigning 0 since no specific value given but positive."
16,Surface Runoff,Antarctica,SSP5-8.5,2300,No CC,Gigatons per year,6000,NA,NA,NA,NA,NA,Page 13,Surface runoff reaches median values of almost 6000 gigatons per year by 2300. This contributes to global mean sea-level rise.
17,Contribution to GMSLR,Antarctica,SSP5-8.5,2100,No CC,mm per year,10,NA,NA,NA,NA,NA,Page 16,"This value is for West Antarctica, and represents the rate of mass loss under both atmospheric and oceanic forcings by the end of the millennium."
18,Sea-level rise,Antarctica,SSP5-8.5,2300,No ice-shelf collapse,cm,60,NA,NA,NA,NA,NA,p.17,Increased median sea-level contribution due to hydrofracturing.
19,Sea-level rise,Antarctica,SSP5-8.5,3000,No ice-shelf collapse,m,2.2,NA,NA,NA,NA,NA,p.17,Increased median sea-level contribution due to hydrofracturing.
20,Surface runoff flux,Antarctica,SSP5-8.5,2300,Present-day,Gt/yr,4000,NA,NA,NA,NA,NA,Page 19,Projected surface runoff fluxes over the Antarctic grounded ice sheet reach median values of approximately 4000 Gt/yr by the year 2300.
21,Surface mass balance,Antarctica,SSP1-2.6,2140,Present-day,NA,0,NA,NA,NA,NA,NA,Page 19,"By approximately 2140, the Surface Mass Balance (SMB) over grounded ice becomes lower than its present-day value, initially due to an increase in ice discharge."
22,Surface mass balance,Antarctic ice shelves,SSP5-8.5,2100,NA,NA,-1,NA,NA,NA,NA,NA,Page 19,"When near-surface warming exceeds approximately +7.5°C, surface runoff surpasses snow accumulation, leading to a negative median surface mass balance over ice shelves."
23,Sea-level rise,Antarctic Ice Sheet,SSP1-2.6,2100,2015,cm,0,NA,5%,-8,95%,16,Page 20,Sea-level contribution from the Antarctic ice sheet under SSP1-2.6 scenario by the end of the century shows a range from -8 to 16 cm based on the 5–95% calibrated probability interval.
24,Sea-level rise,Antarctic Ice Sheet,SSP5-8.5,2100,2015,cm,0,NA,5%,-8,95%,16,Page 20,Sea-level contribution from the Antarctic ice sheet under SSP5-8.5 scenario by the end of the century shows a range from -8 to 16 cm based on the 5–95% calibrated probability interval.
25,Sea-level rise,Antarctic Ice Sheet,SSP1-2.6,2300,2015,m,0,NA,5%,-0.26,95%,1.56,Page 20,Sea-level contribution from the Antarctic ice sheet under SSP1-2.6 scenario by 2300 shows a range from -0.26 to 1.56 m based on the 5–95% calibrated probability interval.
26,Sea-level rise,Antarctic Ice Sheet,SSP5-8.5,2300,2015,m,0,NA,5%,0.46,95%,4.52,Page 20,Sea-level contribution from the Antarctic ice sheet under SSP5-8.5 scenario by 2300 shows a range from 0.46 to 4.52 m based on the 5–95% calibrated probability interval.
27,Surface Runoff,Antarctic Peninsula,SSP5-8.5,2100,No CC,NA,0,NA,NA,NA,NA,NA,Page 22,PDD underestimates runoff; melt-albedo omitted.
28,Ice Shelf Collapse,Larsen & George VI,SSP5-8.5,2100,No CC,NA,0,NA,NA,NA,NA,NA,Page 22,Partial collapse in simulations.
29,Threshold Crossing,Antarctic,SSP5-8.5,2300,No CC,degrees C,7.5,NA,NA,NA,NA,NA,Page 25,Surface mass balance decreases when near-surface warming exceeds 7.5°C.
