,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Potato yield,Uganda,NA,2024,Conventional cultivation,times,8.5,NA,NA,NA,NA,NA,14,Aeroponics increased potato mini tuber output. Assuming observation from 2024 publication year.
1,Potato yield,Unspecified,Unspecified,2024,Unspecified,g,39.5,NA,NA,NA,NA,NA,34,Agata & Monalisa cultivars grown with Nutrient Film Technique for ~120 days
2,Potato yield,Unspecified,Unspecified,2024,Unspecified,g,46.9,NA,NA,NA,NA,NA,34,Agata cultivar grown with Aeroponic Technique for 95 days
3,Potato yield,Unspecified,Unspecified,2024,Unspecified,g,34.8,NA,NA,NA,NA,NA,34,Agata cultivar grown with Nutrient Film Technique for 95 days
4,Potato yield,Unspecified,EC 2.2 dS∙m−1,2024,Unspecified,g,33,NA,NA,NA,NA,NA,34,Agata cultivar grown with Aeroponic Technique for 95 days
5,Potato yield,Unspecified,EC 2.1 dS∙m−1,2024,Unspecified,g,20.4,NA,NA,NA,NA,NA,34,Asterix cultivar grown with Aeroponic Technique for 95 days
6,Potato diameter,Unspecified,Unspecified,2024,Unspecified,mm,5.32,NA,NA,NA,NA,NA,34,Desiree cultivar grown with Aeroponic Technique for 49 days
7,Potato yield,Unspecified,Unspecified,2024,Unspecified,g,15.55,NA,NA,NA,NA,NA,34,Desiree cultivar grown with Aeroponic Technique for 49 days
8,Mini-tuber Production,Unspecified,Unspecified,2024,Substrate & Comb,Ratio,4.08,NA,NA,NA,NA,NA,35,"Aeroponic system relative to substrate and combination system for Kenebbec cultivar, 49 days."
9,Mini-tuber Production,Unspecified,Unspecified,2024,Substrate & Comb,Ratio,1.29,NA,NA,NA,NA,NA,35,"Aeroponic system relative to substrate and combination system for Agria cultivar, 49 days."
10,Mini-tuber Production,Unspecified,Unspecified,2024,Conventional,Ratio,8.5,NA,NA,NA,NA,NA,35,"Aeroponic production compared to conventional system. Kachpot1, Victoria and Uganda11."
